,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
ALL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,835.0,4,0,3,15,14,4,30,32,13,58,94,74,90,125,133,107,189,127,5,3,7,28,14,9,59,5,63,94,71,102,81,55,32,17,170,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALXN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,147.0,10,6,6,19,37,9,29,61,51,39,29,9,36,157,137,117,156,136,2,17,16,6,44,35,55,44,32,21,5,137,33,110,184,169,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
AMAT,3.0,35.0,33.0,333.0,3332.0,45.0,4530.0,940.0,247.0,13,4,11,24,13,21,15,60,50,38,28,8,30,149,129,109,89,69,1,12,2,26,15,46,32,79,67,56,33,6,101,75,52,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,4,11,8,34,44,34,11,3,1,91,54,65,123,0,85,150,134,2,16,20,10,35,26,31,1,16,70,29,52,57,161,138,123,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
AME,3.0,38.0,33.0,334.0,3345.0,20.0,2010.0,925.0,355.0,13,4,2,6,2,48,14,17,54,67,47,77,33,153,118,196,176,156,6,18,15,8,39,48,34,23,11,90,67,119,112,22,50,192,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMG,6.0,62.0,52.0,523.0,5239.0,40.0,4020.0,800.0,823.0,25,2,8,12,22,38,12,28,24,44,88,57,37,26,20,11,21,19,8,19,12,32,36,44,30,19,7,84,61,40,147,17,154,191,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AMGN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,147.0,10,5,7,18,33,42,27,22,12,48,36,110,88,68,48,179,186,166,7,9,13,3,16,53,2,76,64,53,98,77,36,10,7,65,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMP,6.0,62.0,52.0,523.0,5231.0,40.0,4020.0,-1.0,-1.0,4,0,3,27,18,39,57,47,63,51,96,47,131,111,70,50,30,229,5,15,7,28,14,19,60,49,37,91,68,47,26,0,71,56,35,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
AMT,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,974.0,463.0,8,1,1,20,38,41,31,21,11,61,74,46,135,115,95,75,55,35,9,5,25,36,34,25,11,0,61,6,112,91,70,44,21,6,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
AMZN,5.0,59.0,45.0,454.0,4541.0,25.0,2550.0,976.0,447.0,2,7,18,8,29,45,29,61,51,39,29,9,36,157,137,117,142,116,5,3,5,12,38,50,36,25,35,14,103,42,44,171,148,133,112,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
AN,5.0,55.0,44.0,441.0,4411.0,25.0,2550.0,976.0,449.0,18,2,17,5,8,5,11,1,45,57,0,88,138,133,113,93,73,53,0,4,24,30,12,3,13,2,87,92,7,116,18,164,178,163,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ANDV,2.0,29.0,32.0,324.0,3241.0,10.0,1010.0,935.0,390.0,5,6,15,26,16,23,44,30,20,8,14,55,49,104,87,193,192,172,2,2,28,30,19,10,56,73,72,61,38,17,128,152,129,178,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
ANF,5.0,56.0,44.0,448.0,4481.0,25.0,2550.0,976.0,452.0,22,8,5,25,12,25,23,66,78,66,56,36,72,46,170,130,154,214,4,8,14,24,13,4,27,28,74,79,89,130,109,83,60,45,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ANSS,7.0,73.0,51.0,511.0,5112.0,45.0,4510.0,940.0,185.0,2,7,13,3,1,22,50,12,18,7,3,24,9,9,8,6,1,1,1,8,10,0,46,41,63,68,59,29,64,64,9,173,119,148,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ANTM,6.0,63.0,52.0,524.0,5241.0,35.0,3510.0,905.0,287.0,14,5,4,17,0,26,6,33,62,35,86,66,44,72,163,143,123,103,0,4,24,21,10,48,34,71,46,74,94,62,41,15,96,194,173,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AON,6.0,64.0,52.0,524.0,5242.0,40.0,4030.0,800.0,330.0,4,5,7,18,9,42,27,16,6,33,98,110,108,134,45,51,205,185,3,14,29,16,5,37,68,57,45,71,48,27,6,9,195,180,159,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,3.0,36.0,33.0,335.0,3352.0,20.0,2010.0,925.0,220.0,18,9,17,13,3,27,38,48,38,59,49,105,12,102,50,166,146,206,0,7,18,23,12,3,13,2,87,92,7,116,18,164,157,206,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
APA,1.0,13.0,21.0,211.0,2111.0,10.0,1010.0,935.0,380.0,5,6,15,29,19,9,56,65,55,43,33,13,92,150,168,148,128,108,7,9,11,38,27,18,4,51,39,5,30,9,48,134,111,96,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
APC,1.0,13.0,21.0,211.0,2111.0,10.0,1010.0,935.0,380.0,17,6,15,29,19,9,56,65,55,43,33,13,92,150,168,148,128,108,9,14,4,36,34,25,3,24,6,80,60,71,29,82,59,44,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
APD,2.0,28.0,32.0,325.0,3251.0,15.0,1510.0,970.0,160.0,15,7,13,3,1,27,54,44,26,50,87,75,42,147,150,135,80,61,6,18,15,8,39,48,34,23,11,90,67,119,71,45,22,7,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
APH,3.0,36.0,33.0,334.0,3344.0,45.0,4520.0,925.0,220.0,13,4,11,23,27,17,7,25,15,3,76,107,85,124,104,25,5,133,6,18,15,8,41,32,46,35,23,12,97,129,154,128,105,90,69,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
APOL,8.0,82.0,61.0,611.0,6113.0,25.0,2530.0,976.0,175.0,25,5,6,19,37,45,43,16,6,33,98,111,89,69,49,171,151,131,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,800.0,850.0,26,8,16,21,30,20,10,0,59,76,72,84,62,42,43,2,3,226,9,10,0,29,18,7,61,50,86,75,52,31,10,8,198,100,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ARG,5.0,50.0,42.0,423.0,4238.0,15.0,1510.0,970.0,160.0,-1,9,9,23,25,33,36,26,16,4,95,38,57,59,79,37,64,173,2,6,17,2,49,34,26,15,3,88,41,20,32,103,185,211,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
