,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240
2000,"(3362.555130574168, 3987.0814726285316)","(2299.8610978447396, 3987.0814726285316)","(2913.434456813645, 3987.0814726285316)","(2390.765997246284, 3987.081472628531)","(1986.9464777550877, 3987.0814726285316)","(3218.3088722069483, 3987.0814726285316)","(2786.1771006418726, 3987.0814726285316)","(3422.21342411601, 3989.721617355005)","(2197.943447362481, 3989.721617355005)","(3103.4824341604426, 4062.752393303323)","(3289.306662137291, 4094.5278285479)","(2810.61553486836, 4094.5278285479)","(2698.56085015759, 4094.5278285479)","(2647.104068116237, 4094.5278285479)","(2614.240761808495, 4094.5278285479)","(2591.991114536322, 4094.5278285479003)","(2577.7864194065246, 4094.5278285479)","(2546.9811211351475, 4094.5278285479)","(2550.2201402363644, 4094.5278285479)","(2505.5029580992614, 4094.5278285479)","(2307.7824980014425, 4094.5278285479)","(2276.6488533124425, 4094.5278285479)","(2174.1499314219727, 4094.5278285479003)","(2121.6240408336503, 4094.5278285479)","(1985.7973988031824, 4094.5278285479)","(1956.5293013066362, 4094.5278285479)","(1691.6323314319914, 4094.5278285479)","(2780.6585937844684, 3970.652189539919)","(2689.9766528421646, 3970.6521895399187)","(2423.46056683649, 3970.652189539919)","(2372.89050513761, 3970.652189539919)","(2035.7103608331, 3970.652189539919)","(1970.692146728896, 3970.652189539919)","(1904.9177620790263, 3970.652189539919)","(1789.7668586515156, 3970.652189539919)","(1839.259668653895, 3970.652189539919)","(1713.961073765272, 3970.652189539919)","(1597.1343693691538, 3970.652189539919)","(1473.0990267762445, 3970.652189539919)","(1306.1347180540238, 3970.652189539919)","(1221.2522943210952, 3970.652189539919)","(1180.8085027982108, 3970.652189539919)","(1138.3922116458386, 3970.652189539919)","(1116.9774553611296, 3970.652189539919)"
2001,"(3068.6173921957093, 3779.883439143763)","(2178.4392893581403, 3779.8834391437636)","(2653.4466469426648, 3779.8834391437636)","(2262.5908413304205, 3779.883439143763)","(1894.7237661055776, 3779.8834391437636)","(2954.0190550433535, 3779.8834391437636)","(2665.2197039907496, 3779.8834391437636)","(3170.0228245752096, 3792.2425931630896)","(2125.4601126527677, 3792.2425931630896)","(2892.0349696378594, 3873.284678847606)","(2754.006124807921, 3872.6104481036277)","(2568.0445947024114, 3872.610448103628)","(2421.9993834869233, 3872.610448103628)","(2223.240694413323, 3872.610448103628)","(2201.1994784108915, 3872.610448103628)","(2192.808175242366, 3872.610448103628)","(2180.078901290761, 3872.610448103628)","(2163.158236509397, 3872.610448103628)","(2156.542931344954, 3872.610448103628)","(2094.186593457455, 3872.610448103628)","(2018.8891168590621, 3872.610448103628)","(2004.6661040242486, 3872.610448103628)","(1852.1676793732358, 3872.610448103628)","(1720.596560618093, 3872.610448103628)","(1680.5168817536362, 3872.610448103628)","(1566.3799961626726, 3872.610448103628)","(1491.5955478969013, 3872.610448103628)","(2731.613629687018, 3765.14533631772)","(2143.7108756018815, 3765.14533631772)","(2150.135551336509, 3765.14533631772)","(2032.7234709606994, 3765.1453363177197)","(1917.0027789948022, 3765.1453363177197)","(1879.908982353739, 3765.1453363177197)","(1780.2500102636818, 3765.1453363177197)","(1710.1076464288858, 3765.14533631772)","(1588.9510310217818, 3765.14533631772)","(1456.8029283779501, 3765.14533631772)","(1394.348714760884, 3765.14533631772)","(1371.293444432819, 3765.14533631772)","(1199.8194609957677, 3765.14533631772)","(1136.627619690622, 3765.14533631772)","(1123.391552861365, 3765.1453363177197)","(1078.6844988851544, 3765.14533631772)","(999.1540159945325, 3765.14533631772)"
2002,"(2660.3021214723394, 3124.0732593951793)","(1936.8568924988165, 3124.0732593951793)","(2276.4631163238837, 3124.073259395179)","(1924.2187992900358, 3124.0732593951793)","(1652.6281092054655, 3124.0732593951793)","(2571.822854019312, 3124.0732593951793)","(2289.043096774671, 3124.0732593951793)","(2785.7509943330456, 3161.0439123468354)","(1842.8760154282484, 3161.0439123468354)","(2566.699603826353, 3204.6834191450325)","(2646.30060162988, 3196.299008671652)","(2125.691868954362, 3196.299008671652)","(1883.2949613371713, 3196.2990086716522)","(1825.736286482071, 3196.299008671652)","(1777.0735720480304, 3196.2990086716522)","(1748.2732281483923, 3196.2990086716522)","(1730.381837342205, 3196.299008671652)","(1721.5463536935242, 3196.299008671652)","(1686.0341204963527, 3196.2990086716522)","(1620.3224942521044, 3196.299008671652)","(1570.122363676791, 3196.2990086716522)","(1544.9066098778917, 3196.2990086716522)","(1516.3551111658055, 3196.2990086716527)","(1475.1695237501763, 3196.299008671652)","(1357.247285318975, 3196.299008671652)","(1323.1177851398418, 3196.2990086716522)","(1259.4597688849556, 3196.299008671652)","(2478.221975941075, 3012.4625797680887)","(2187.009653751215, 3012.4625797680887)","(2038.8692620500883, 3012.4625797680887)","(1935.5085334336784, 3012.4625797680887)","(1811.3093294469213, 3012.4625797680887)","(1694.8449733554842, 3012.4625797680887)","(1659.9653366595383, 3012.4625797680887)","(1612.6335726190018, 3012.4625797680887)","(1511.198562333603, 3012.4625797680887)","(1397.6191228379507, 3012.4625797680887)","(1351.3373988011915, 3012.4625797680887)","(1127.4039073766357, 3012.4625797680887)","(1069.0356204265865, 3012.4625797680887)","(1044.9175969543653, 3012.4625797680887)","(971.3422389429844, 3012.4625797680887)","(941.4386426589554, 3012.4625797680887)","(908.2550023706636, 3012.4625797680887)"
2003,"(3043.8141717536505, 3558.853368595506)","(2272.1514859394088, 3558.853368595506)","(2615.112252890944, 3558.853368595506)","(2236.4747453432865, 3558.853368595506)","(1921.6598753679477, 3558.853368595506)","(2908.065785938714, 3558.853368595506)","(2633.8471423811434, 3558.853368595506)","(3167.3708033822286, 3633.8725625340553)","(2127.2492000070156, 3633.8725625340553)","(2879.4504312880895, 3687.6868667588487)","(3087.111970424039, 3666.9805748139806)","(2965.95161720271, 3666.9805748139806)","(2723.842237436986, 3666.9805748139806)","(2685.181692421966, 3666.9805748139806)","(2570.432482272393, 3666.9805748139806)","(2451.862465276515, 3666.9805748139806)","(2362.2565142136727, 3666.9805748139806)","(2207.22860222756, 3666.9805748139806)","(2183.600166081692, 3666.9805748139806)","(2164.0039526706787, 3666.9805748139806)","(2087.856779579438, 3666.9805748139806)","(2105.933328480304, 3666.9805748139806)","(1873.7028482784203, 3666.9805748139806)","(1831.3349653348655, 3666.9805748139806)","(1757.1110896535124, 3666.9805748139806)","(1646.416133983019, 3666.9805748139806)","(1549.3005909873439, 3666.98057481398)","(2585.1509407769586, 3365.9175301592)","(2628.229881522031, 3365.9175301592)","(2427.748579681141, 3365.9175301592004)","(2149.205973737777, 3365.9175301592)","(2231.4121205433908, 3365.9175301592)","(2192.8374536218307, 3365.9175301592)","(2021.5434263070608, 3365.9175301592)","(2087.666940592739, 3365.9175301592)","(1945.0284243401634, 3365.9175301592)","(1852.939364210048, 3365.9175301592)","(1735.7200227781645, 3365.9175301592004)","(1588.1618550807948, 3365.9175301592004)","(1542.2771250728233, 3365.9175301592004)","(1477.7032026058237, 3365.9175301592)","(1410.709514208167, 3365.9175301592)","(1155.8411624593102, 3365.9175301592)","(1125.1090526914384, 3365.9175301592004)"
2004,"(3526.644437875044, 4096.625164038651)","(2626.967703901145, 4096.625164038651)","(3049.9429166540062, 4096.625164038651)","(2556.316750398219, 4096.625164038651)","(2178.670129427962, 4096.625164038651)","(3336.4642451420823, 4096.625164038651)","(3033.6443776869382, 4096.625164038651)","(3620.69631889628, 4195.573140657448)","(2383.050994598263, 4195.573140657448)","(3346.1089278345157, 4214.915532346988)","(3739.598687955093, 4187.203693759199)","(3178.8379744492663, 4187.203693759199)","(3010.8705137220277, 4187.203693759198)","(2925.3062909279543, 4187.203693759199)","(2437.931237356366, 4187.203693759199)","(2190.0299326039258, 4187.203693759198)","(2137.369000896904, 4187.203693759199)","(2078.5816464616246, 4187.203693759199)","(2004.497863097966, 4187.203693759199)","(1992.1008204200211, 4187.203693759198)","(1926.8482592284904, 4187.203693759198)","(1751.3907101132033, 4187.203693759199)","(1718.8673202582104, 4187.203693759199)","(1610.0578036076895, 4187.203693759198)","(1567.4791686692301, 4187.203693759198)","(1515.3716511223456, 4187.203693759198)","(1363.5950368548204, 4187.203693759198)","(3401.7602367207755, 4098.9116022562)","(3101.0468363771784, 4098.9116022562)","(2957.2244954169887, 4098.9116022562)","(2741.4081877262233, 4098.9116022562)","(2695.6900449178597, 4098.911602256201)","(2661.884801922767, 4098.9116022562)","(2635.064849350103, 4098.9116022562)","(2571.010887675226, 4098.9116022562)","(2471.4616492122436, 4098.9116022562)","(2323.3856937407418, 4098.9116022562)","(2102.3674923279286, 4098.9116022562)","(2036.6467122096353, 4098.9116022562)","(1966.0489564540403, 4098.9116022562)","(1918.1484721056977, 4098.9116022562)","(1876.423654237345, 4098.9116022562)","(1761.4218216546446, 4098.911602256201)","(1658.8900624525168, 4098.9116022562)"
2005,"(4343.556133612654, 5180.998056497236)","(3170.6762148849903, 5180.998056497236)","(3750.5986580798867, 5180.998056497237)","(3141.6144677020716, 5180.998056497236)","(2644.171654093041, 5180.998056497236)","(4006.1860431087516, 5180.998056497236)","(3729.452563895244, 5180.998056497236)","(4401.983055439471, 5359.326693844929)","(3009.7181577999504, 5359.326693844929)","(3869.545133670275, 5321.87686071971)","(4072.8750584317772, 5323.434917415054)","(3612.498848521998, 5323.434917415054)","(3235.3027045169265, 5323.434917415054)","(2671.4206706069963, 5323.434917415055)","(2615.826507270316, 5323.434917415055)","(2350.5701200939125, 5323.434917415054)","(2314.9013324671578, 5323.434917415054)","(2291.6776829727814, 5323.434917415055)","(2257.5670498137324, 5323.434917415054)","(2205.1289030422863, 5323.434917415054)","(1998.6474692347908, 5323.434917415054)","(1948.6287672455453, 5323.434917415054)","(1910.8396497812112, 5323.434917415054)","(1850.118172244194, 5323.434917415054)","(1814.575189121098, 5323.434917415054)","(1772.7286538364524, 5323.434917415054)","(1709.9877907171954, 5323.434917415054)","(4135.857126384681, 5184.110194641458)","(3715.9470584629494, 5184.110194641458)","(3335.575306455089, 5184.110194641458)","(3146.7941629689926, 5184.110194641458)","(3010.023932484875, 5184.110194641458)","(2883.363851564733, 5184.110194641457)","(2890.1611933906884, 5184.110194641458)","(2653.363879532666, 5184.110194641457)","(2619.387689980452, 5184.110194641458)","(2584.5963842480974, 5184.110194641458)","(2540.333543395155, 5184.110194641458)","(2284.697837072214, 5184.110194641457)","(2161.1193974805374, 5184.110194641458)","(2060.6473897925807, 5184.110194641457)","(1867.0928808128642, 5184.110194641457)","(1818.1864424232388, 5184.110194641458)","(1630.4772088676534, 5184.110194641458)"
2006,"(5403.557032369867, 6667.959245952361)","(3896.4341707613735, 6667.959245952359)","(4650.502953243524, 6667.959245952359)","(3909.923745132139, 6667.959245952359)","(3144.033531354938, 6667.959245952359)","(4873.920029867234, 6667.959245952359)","(4551.046006963007, 6667.959245952359)","(5430.49312880231, 6950.913109407408)","(3710.6775400656775, 6950.913109407408)","(4736.093472060169, 6841.94499488435)","(5133.015068175693, 6836.550768016115)","(4406.788509183618, 6836.550768016115)","(4000.5672080925597, 6836.550768016115)","(3843.4408454080385, 6836.550768016115)","(3399.613660387969, 6836.550768016116)","(2918.335082030141, 6836.550768016115)","(2882.204330683472, 6836.550768016115)","(2823.569017633947, 6836.550768016115)","(2750.7003500319547, 6836.550768016115)","(2724.2897053845936, 6836.550768016116)","(2692.6914298319807, 6836.550768016115)","(2490.2399430780133, 6836.550768016116)","(2370.3064826149557, 6836.550768016115)","(2333.192933976021, 6836.550768016115)","(2292.8042596991513, 6836.550768016115)","(2215.2908563257256, 6836.550768016115)","(2172.2425332703383, 6836.550768016115)","(4846.642128071305, 6687.46407045759)","(4326.487822270383, 6687.46407045759)","(4178.756634113172, 6687.46407045759)","(3576.443635055199, 6687.464070457591)","(3644.5181223971467, 6687.464070457591)","(3477.337088772966, 6687.464070457591)","(3474.197558835076, 6687.46407045759)","(3367.4841291510174, 6687.46407045759)","(3288.167912709229, 6687.46407045759)","(3195.4893454183625, 6687.464070457591)","(3082.287674864952, 6687.46407045759)","(2932.1701073920585, 6687.46407045759)","(2809.4472690035573, 6687.46407045759)","(2548.4020972745075, 6687.464070457591)","(2351.6536793345153, 6687.464070457591)","(2253.5052915830975, 6687.464070457591)","(2145.458432617045, 6687.46407045759)"
2007,"(5481.086000458804, 6720.427575042551)","(3948.627108604102, 6720.427575042551)","(4675.643491617241, 6720.427575042551)","(3881.3173688955803, 6720.427575042552)","(3086.671527195409, 6720.427575042551)","(5036.781518770476, 6720.427575042551)","(4654.157255641069, 6720.427575042551)","(5589.657718739942, 7023.1520916430345)","(3851.608480785079, 7023.1520916430345)","(5003.2656352114545, 6840.736571497645)","(4546.623987617124, 6860.16719059714)","(4058.2221207716084, 6860.167190597141)","(4042.3405008999207, 6860.167190597141)","(3764.1034175392283, 6860.167190597141)","(3512.5092947521666, 6860.167190597141)","(3432.663589381728, 6860.167190597141)","(3358.699685277041, 6860.16719059714)","(3269.0436072725333, 6860.167190597141)","(2639.0696618206375, 6860.167190597141)","(2599.5489076786953, 6860.167190597141)","(2499.376696863106, 6860.167190597141)","(2802.5881913501203, 6860.167190597141)","(2726.7183031738377, 6860.167190597141)","(2192.3077596513735, 6860.167190597141)","(2136.6021017515973, 6860.167190597141)","(2063.7576473781487, 6860.167190597141)","(2024.2651941530073, 6860.167190597141)","(4346.740839404556, 6736.30154820726)","(4070.9083551682115, 6736.301548207258)","(3759.241020901656, 6736.30154820726)","(3872.848446853778, 6736.30154820726)","(3592.285976786287, 6736.30154820726)","(3406.139138534513, 6736.30154820726)","(3287.5567946207707, 6736.30154820726)","(3249.3701118923054, 6736.30154820726)","(3285.4377007604635, 6736.301548207258)","(3142.015539852065, 6736.30154820726)","(3000.290677633136, 6736.30154820726)","(2802.3179266123416, 6736.30154820726)","(2756.419037981115, 6736.301548207259)","(2687.3457745625424, 6736.30154820726)","(2477.0725894370285, 6736.30154820726)","(2342.991997308863, 6736.30154820726)","(2207.869089205873, 6736.301548207258)"
2008,"(5604.329470182154, 6533.235555179502)","(4127.764084140686, 6533.235555179502)","(4822.073828542732, 6533.235555179502)","(3964.5583104518932, 6533.235555179501)","(3425.1989658908815, 6533.235555179502)","(5115.75488856883, 6533.235555179502)","(4617.509546539012, 6533.235555179502)","(5624.818726746876, 6864.278096302413)","(3287.64431207987, 6864.278096302413)","(4981.894032622929, 6653.281480647427)","(4921.260544963724, 6658.289083899607)","(4331.741504497717, 6658.289083899607)","(4318.736368013248, 6658.289083899607)","(4006.6419614959636, 6658.289083899607)","(3735.32682242768, 6658.289083899607)","(3598.2334156843217, 6658.289083899607)","(3547.9803960025192, 6658.289083899607)","(3479.7882416268494, 6658.289083899607)","(3526.7878960360536, 6658.289083899607)","(3463.08499434397, 6658.289083899607)","(3377.6955537906874, 6658.289083899607)","(3263.6743595457333, 6658.289083899607)","(3203.0783361649646, 6658.289083899607)","(3118.7453806604185, 6658.289083899607)","(2846.9766404096217, 6658.289083899607)","(2973.8371111352108, 6658.289083899607)","(2949.5432750352975, 6658.289083899607)","(4632.903816991833, 6541.274015515199)","(4053.6622434391656, 6541.274015515199)","(3988.6726979996834, 6541.274015515199)","(3560.1305537269513, 6541.274015515199)","(3233.6358689660465, 6541.274015515199)","(3151.188974964708, 6541.2740155152)","(2943.458486663759, 6541.274015515199)","(2979.100406130336, 6541.274015515199)","(2846.276524485524, 6541.274015515199)","(2679.166391711913, 6541.274015515199)","(2509.868856284737, 6541.274015515199)","(2357.3902059588568, 6541.274015515199)","(2309.720388808686, 6541.274015515199)","(2224.528502694397, 6541.274015515199)","(2100.010043808887, 6541.274015515199)","(1989.7420175290297, 6541.274015515199)","(1896.285225916539, 6541.274015515199)"
2009,"(3807.268884303678, 4150.367731702751)","(2952.6273334755665, 4150.367731702751)","(3268.7020792336307, 4150.367731702751)","(2810.2100676839755, 4150.367731702751)","(2399.3153243040438, 4150.367731702751)","(3545.7585882823614, 4150.367731702751)","(3145.204819847352, 4150.367731702751)","(3922.611838913704, 4351.81290215203)","(2697.8602730822877, 4351.81290215203)","(3452.745484929988, 4214.168040567333)","(3785.7952464040854, 4192.566742071271)","(3468.6776573852517, 4192.566742071271)","(3372.350525962769, 4192.566742071271)","(3159.8709923500323, 4192.566742071271)","(3086.3670760212813, 4192.566742071271)","(2957.354540462807, 4192.566742071271)","(2891.0574745002, 4192.566742071271)","(2844.5712567264027, 4192.566742071271)","(2688.470846308504, 4192.566742071271)","(2720.409621643204, 4192.566742071271)","(2579.387230720891, 4192.566742071271)","(2618.3610788503297, 4192.566742071271)","(2554.2442757076133, 4192.566742071271)","(2430.713398569847, 4192.566742071271)","(2223.073339733686, 4192.566742071271)","(2185.804308077994, 4192.566742071271)","(2123.752409076637, 4192.566742071271)","(3342.763164238885, 4179.505844714316)","(3261.277836317016, 4179.505844714315)","(3181.485438811839, 4179.505844714315)","(3012.089170502685, 4179.505844714316)","(2905.0521931535054, 4179.505844714316)","(2811.912005961603, 4179.505844714315)","(2656.2278872853417, 4179.505844714316)","(2598.712538094535, 4179.505844714315)","(2533.020189426447, 4179.505844714315)","(2395.5242424460544, 4179.505844714315)","(2269.302464466717, 4179.505844714316)","(2190.8179684856195, 4179.505844714315)","(2148.216805687739, 4179.505844714316)","(2110.9846246654374, 4179.505844714315)","(2033.2178373670354, 4179.505844714315)","(1941.7216009134083, 4179.505844714315)","(1865.2109431738577, 4179.505844714315)"
