,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,10,0,1,22,7,32,34,22,2,12,15,89,46,2,36,21,16,235,3,9,19,12,3,24,56,79,59,34,83,38,2,162,47,7,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA,3.0,33.0,33.0,331.0,3313.0,15.0,1510.0,-1.0,-1.0,17,3,17,4,9,43,27,20,0,83,97,19,108,64,22,54,114,23,5,18,21,21,1,4,67,52,70,45,9,36,119,77,37,176,182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
AAL,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,9,0,18,19,11,24,28,16,54,76,68,20,119,75,33,6,1,1,8,4,9,28,43,1,9,35,80,87,51,128,92,161,121,82,233,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,4,0,5,3,3,11,13,15,8,12,62,19,0,137,95,53,8,5,11,16,11,41,9,51,43,23,71,35,134,98,56,16,83,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,5,7,21,33,34,1,51,22,34,56,3,7,15,124,71,194,33,7,16,24,4,31,10,62,13,88,98,27,64,159,117,77,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,-1.0,-1.0,10,1,6,3,13,26,3,53,11,24,61,15,53,134,92,50,8,30,6,17,3,3,35,47,22,7,60,37,42,84,155,179,24,56,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,7,14,28,22,14,53,36,69,54,60,92,60,49,14,10,9,13,0,2,11,29,45,26,61,46,26,1,70,25,102,28,12,8,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,2,15,27,37,9,44,59,39,16,75,94,17,157,158,34,61,90,3,15,28,13,29,58,33,18,50,81,75,30,156,128,88,219,173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,2,1,28,29,32,34,24,4,71,51,10,21,24,132,147,209,91,4,1,29,6,49,45,59,29,16,43,119,124,113,71,31,187,149,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAS,6.0,67.0,52.0,523.0,5239.0,40.0,4020.0,800.0,850.0,-1,7,14,14,20,28,5,1,6,31,9,27,23,19,2,153,218,173,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,25,5,4,27,37,17,6,18,73,85,91,56,122,77,127,65,207,167,4,1,26,6,49,45,59,66,46,21,26,73,27,67,178,138,189,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,4,0,27,37,9,42,13,15,8,12,62,19,0,137,95,53,8,2,8,10,36,20,32,18,67,84,59,23,118,114,151,111,71,184,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,1,9,0,35,33,55,43,23,0,72,76,77,101,177,99,57,12,2,8,10,36,20,32,18,67,54,29,93,41,117,75,171,78,224,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADM,2.0,20.0,31.0,311.0,3112.0,30.0,3020.0,970.0,112.0,7,9,16,18,2,23,56,67,58,20,85,98,114,70,154,91,99,212,5,18,21,21,1,4,67,69,49,24,9,36,9,111,165,201,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ADP,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,25,5,7,21,33,17,6,66,46,23,3,49,93,148,85,184,142,97,8,0,9,31,38,30,58,78,5,92,24,55,76,40,170,136,84,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,3,2,1,19,11,44,15,33,34,11,59,72,29,105,34,16,13,230,8,5,14,31,38,30,58,78,5,92,24,63,60,166,126,86,48,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,3,2,18,19,38,18,16,30,10,25,5,7,25,12,76,93,154,109,0,10,22,27,30,5,41,11,78,53,56,5,158,116,76,36,217,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,5.0,51.0,42.0,424.0,4247.0,10.0,1010.0,925.0,355.0,5,3,17,4,9,43,27,20,0,74,21,86,81,116,53,128,151,170,1,3,1,18,40,2,38,16,14,38,2,77,41,60,199,57,121,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AEE,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,6,5,1,15,35,12,0,72,49,99,58,15,84,42,154,112,67,7,7,23,9,17,46,5,26,24,28,45,110,74,12,10,75,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEP,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,6,5,1,15,35,12,0,72,49,99,58,15,84,42,154,112,67,9,7,15,9,17,37,5,9,12,66,57,110,74,32,10,75,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,720.0,5,5,5,1,23,48,29,55,35,63,33,52,120,65,122,198,156,111,9,0,6,30,4,19,43,28,8,67,31,139,103,61,21,217,32,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AET,6.0,63.0,52.0,524.0,5241.0,35.0,3510.0,905.0,287.0,14,2,6,3,14,30,7,14,38,15,82,100,57,13,59,13,12,198,0,2,13,32,12,50,46,31,11,46,18,98,24,47,168,128,199,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AFL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,825.0,4,4,0,5,3,3,11,13,15,8,12,62,19,0,137,95,53,8,9,0,6,24,44,19,43,28,48,67,31,18,112,178,164,124,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,283.0,14,1,9,8,21,31,38,35,20,10,14,9,5,16,147,130,88,43,3,18,1,18,40,2,38,16,14,38,2,77,41,60,159,164,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
AIG,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,830.0,4,8,12,13,8,45,18,11,21,88,76,42,134,100,120,78,36,218,0,2,8,20,0,53,65,50,30,5,107,48,12,69,46,195,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
