,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240
sic_1,1.0,0.3808486265683616,0.6931344463594765,0.3399591240389122,0.17866088308414999,0.2967791012501686,0.273091960618998,0.3826703368495726,0.14967836441237556,0.2593984065261807,0.1488453088535686,0.11808051114185333,0.11129980660871812,0.10608541182870446,0.10771295254098442,0.1005855171920066,0.10030051363740349,0.10002893692681648,0.09978910507069212,0.0989541769626716,0.10006110968487882,0.09940435282069249,0.09491474987511397,0.08951493862436002,0.08931738754532029,0.08197679586343296,0.08225052402324624,0.06701506308617959,0.04751551866615249,0.03299989890718237,0.026735084721169377,0.023232130684511656,0.021039712714091288,0.019586318781524517,0.015047017475263193,0.014522945941936915,0.014756044969571936,0.013980529431007676,0.0112351139135205,0.008457681743764154,0.007770071297507421,0.007222577001703174,0.007374813156890205,0.006911880174854004
sic_2,0.3808486265683616,1.0,0.4414764344388339,0.6601750739097441,0.5771905305655142,0.29948335754309346,0.4516540525548586,0.27071071292672166,0.4054231712191898,0.3470873923445919,0.11944651275449014,0.14384777512721725,0.15034462637152365,0.14605314074969813,0.15260549145385066,0.14316028176906004,0.14949976087917582,0.15222992738178412,0.15162914057930962,0.1545205144374325,0.15687730832634947,0.1601719893287014,0.15113397683143445,0.14353074488036435,0.14653555533570245,0.1404390896882676,0.14658690061873664,0.06456333963496326,0.06388405980794741,0.05178982423510012,0.05237270548780178,0.046248746843386784,0.046067123444820224,0.04029805215355301,0.03478106642655143,0.034474340597097954,0.036002663309212354,0.033162979891526424,0.026581632129764065,0.021131215632211806,0.019199212196182654,0.018471005978809945,0.018000779788088558,0.015856318667907755
naics_2,0.6931344463594765,0.4414764344388339,1.0,0.5033432303654438,0.2732837058665914,0.3601051627854435,0.35698355746834776,0.328355710314807,0.18446178712270278,0.3231226130916518,0.16623759100721675,0.1335464540374706,0.1306887914184568,0.12462562383717074,0.1238206293421905,0.11470284289437466,0.11477602388542288,0.11475483041582281,0.11511689953666276,0.11497429743255458,0.11771738499187276,0.11756614836751239,0.11761195437425796,0.10906271683108551,0.10870354630411644,0.10363293405616829,0.10676554464470425,0.0706065519414121,0.05575995248515704,0.041965259128463446,0.03477419361796676,0.03218263643072348,0.02933262683121003,0.026738189206110947,0.01986451922978699,0.018820383912179484,0.01914523419160813,0.018596030640840353,0.014922215690242477,0.011223446563876064,0.010069808278426703,0.010096345606832325,0.009714989184337799,0.008754373983133498
naics_3,0.3399591240389122,0.6601750739097441,0.5033432303654438,1.0,0.6400096880414217,0.2788424296556285,0.4095787245744579,0.254723744989592,0.36311465175826646,0.3137533233009201,0.10752261341354871,0.1260976506712586,0.13000594902289495,0.12598145113567252,0.12701873125850102,0.11352955145400516,0.11968227659875472,0.12062003374784273,0.11996724578583483,0.12058608457688624,0.12097396688181707,0.12317271382249052,0.12118154816235295,0.11411676208488578,0.1169358231759505,0.11341695539185102,0.12639028395545737,0.06760460093129704,0.06911269881134008,0.05808468597226405,0.05427626683819923,0.050387809760651145,0.049393679338651686,0.0444887172973192,0.03417890471046764,0.033251785487901725,0.034310303077849234,0.03416609826451619,0.0280913706667357,0.02196953453515543,0.020734627350505717,0.020358632692888304,0.01958337476505095,0.017483158285843743
naics_4,0.17866088308414999,0.5771905305655142,0.2732837058665914,0.6400096880414217,1.0,0.22238884253701502,0.38352690297926645,0.19061251030743293,0.4936738510002267,0.2821957698761364,0.08774906917956264,0.10757158490559808,0.11806043299768344,0.11318431387269909,0.11441761978904985,0.10499022497279265,0.11129441063440908,0.11423516183590302,0.11324716318132955,0.11599657009394575,0.11827354776194149,0.12065277588972595,0.12327314156861895,0.11781597569547407,0.12290561127777595,0.11952074621181472,0.13447292765000124,0.052678752649790564,0.06462393604937919,0.05536971421011127,0.056289539314346576,0.05518167702529175,0.05627305379154056,0.054143068511705555,0.042702287274090936,0.042117059828147924,0.04411706485658726,0.04335096356896307,0.03767287984156937,0.029760444913874508,0.028681303088666645,0.02808726506512151,0.026397051505802162,0.02445249690874708
gsector,0.2967791012501686,0.29948335754309346,0.3601051627854435,0.2788424296556285,0.22238884253701502,1.0,0.6186920202071088,0.587879970924174,0.18745673046678735,0.4078097791646066,0.188841980512562,0.16174936233598292,0.1599863405966024,0.15696486979355093,0.1550273792384907,0.14572069348450248,0.14523464110075007,0.14394488697136387,0.14355648348497307,0.14134279115355253,0.1419344878997167,0.13990799854558517,0.13349830591878187,0.12535218834560397,0.12142671441352738,0.11302412136052527,0.11138655432514372,0.06772789530222123,0.054333436924203365,0.040888621959410926,0.03371700144205304,0.03132227332880775,0.029501125423926855,0.02586117771949451,0.01919008463615922,0.019130262986396033,0.018915029492608152,0.017608836024063653,0.014148808246329208,0.01141789249997518,0.010917936006242503,0.009677471463318852,0.008976974479625591,0.008832514534439817
ggroup,0.273091960618998,0.4516540525548586,0.35698355746834776,0.4095787245744579,0.38352690297926645,0.6186920202071088,1.0,0.3965508107601492,0.34694517284949417,0.3962509814240142,0.13061847565967163,0.1405904636282064,0.1417006934393084,0.13882515264395404,0.13950710442505454,0.12840731076904088,0.13296251333279316,0.13398906071780667,0.13377554583347806,0.1344050440503658,0.13345151444411343,0.13506331777912403,0.12807215939637423,0.11995655673777193,0.12028745116837807,0.11420029406102564,0.12084495406198548,0.06124337072419949,0.057768622977740235,0.04638928752868246,0.04217565091628608,0.03757549361810269,0.036106943448491274,0.031036514767474915,0.02472763638420559,0.0241132279542131,0.023972804161371906,0.022200410165076293,0.0190323068096425,0.014592209236852994,0.013857192345820384,0.012183343902387182,0.011742529382999752,0.011158072418921172
spcseccd,0.3826703368495726,0.27071071292672166,0.328355710314807,0.254723744989592,0.19061251030743293,0.587879970924174,0.3965508107601492,1.0,0.23206735297515635,0.36710402818749405,0.16237380563926448,0.1407812422012961,0.13446908004061445,0.13576101173146474,0.13464146104550237,0.1277788722899663,0.1272811137465601,0.12908982738113042,0.1297490831247833,0.12700999313225614,0.1271757025242332,0.1251698361481325,0.1242849183549447,0.11384268098068909,0.11005170913324286,0.10449393191221899,0.10380506700184013,0.06589166345286031,0.054498675453696084,0.04054655482236029,0.03164355134568548,0.02721711697920506,0.026396486578092883,0.025753428095788587,0.019167284433383034,0.019788575025105972,0.018583927930658464,0.017644412671212844,0.014528766339686446,0.01106790370254877,0.009953921132523764,0.00966616708397749,0.009823968001501203,0.008405032423004572
spcindcd,0.14967836441237556,0.4054231712191898,0.18446178712270278,0.36311465175826646,0.4936738510002267,0.18745673046678735,0.34694517284949417,0.23206735297515635,1.0,0.24446200879690247,0.07423810672251682,0.10147587018547635,0.11580389976951568,0.11423601815217443,0.12076016460785177,0.10859036644248833,0.11563940999448066,0.11944499589026435,0.120622027409831,0.12312018668936153,0.12689278573843543,0.1310029398370293,0.13246017782661126,0.12615631440816139,0.13318340645128038,0.1313905720405935,0.14669117251705371,0.04137924298356074,0.04568602388730208,0.04425573800295605,0.044802866917587815,0.040164313548845545,0.03804500206688771,0.03493367134656605,0.030985949202194465,0.03288678576794567,0.03592139984061633,0.03438994877559559,0.03172360966997603,0.023292496303645938,0.02275526116715231,0.021198914926248726,0.02007273735238631,0.018138355345518293
hp,0.2593984065261807,0.3470873923445919,0.3231226130916518,0.3137533233009201,0.2821957698761364,0.4078097791646066,0.3962509814240142,0.36710402818749405,0.24446200879690247,1.0,0.14010921305911744,0.125424785333347,0.11845177960505254,0.12310523463069543,0.12124516889304039,0.11437073096666149,0.11239226184294344,0.11320212462954504,0.11435944688039767,0.11508758647769261,0.12045699477995665,0.11871826545305462,0.11377992064701119,0.1060340499857471,0.10321771157504618,0.10071305816409719,0.10297081839611774,0.0661269129908587,0.06243231837411637,0.04722464233581817,0.04227426490359605,0.04094115611663453,0.03952685324200626,0.03710799234771606,0.028700971096382148,0.028465951742585812,0.028683762187990226,0.026296030217968905,0.021861022327650616,0.01664091995810645,0.01585277872949507,0.015179065940654985,0.014399284443841772,0.01379912413669646
