,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240
2000,"(0.21944998558480835, 0.23940876749899867)","(0.16721700266572806, 0.23940876749899867)","(0.20115239066729695, 0.23940876749899867)","(0.16600181023566413, 0.23940876749899867)","(0.1418768287497245, 0.23940876749899867)","(0.19917771240446164, 0.23940876749899867)","(0.18391066543014567, 0.23940876749899867)","(0.21027566740335826, 0.23944204040514086)","(0.14601484147596042, 0.23944204040514086)","(0.1857717561496324, 0.23381179851884396)","(0.2011922376272495, 0.23534378745570733)","(0.18389244563241292, 0.2353437874557073)","(0.17821246109021338, 0.2353437874557073)","(0.17573236914434667, 0.2353437874557073)","(0.17385533853728902, 0.2353437874557073)","(0.17206640686482505, 0.23534378745570733)","(0.16956013097591444, 0.2353437874557073)","(0.1680562314535689, 0.23534378745570733)","(0.16041353356928922, 0.23534378745570736)","(0.1574956274521656, 0.23534378745570733)","(0.13821433817838147, 0.2353437874557073)","(0.13363781545097259, 0.23534378745570733)","(0.12862799286903617, 0.2353437874557073)","(0.12410435872197068, 0.2353437874557073)","(0.11634521118048952, 0.23534378745570733)","(0.11083715395684474, 0.23534378745570733)","(0.10373612942153473, 0.23534378745570733)","(0.048037160674034414, 0.23319211228009193)","(0.030909927662604288, 0.2331921122800919)","(0.015324766965975185, 0.23319211228009193)","(0.013661571850479864, 0.23319211228009193)","(0.012532159529203139, 0.23319211228009193)","(0.011267508883463298, 0.23319211228009193)","(0.010162582446781362, 0.23319211228009193)","(0.009489454424123184, 0.23319211228009193)","(0.009206633190000462, 0.23319211228009193)","(0.008807851459608673, 0.23319211228009193)","(0.005466366496417452, 0.23319211228009193)","(0.00473693182544356, 0.23319211228009193)","(0.0035397878661073013, 0.23319211228009193)","(0.0030126374532036472, 0.23319211228009193)","(0.0026902676287164067, 0.23319211228009193)","(0.002499988412484794, 0.23319211228009193)","(0.0023516089372508644, 0.23319211228009193)"
2001,"(0.21002788499879194, 0.2311597612273352)","(0.1636244182835541, 0.2311597612273352)","(0.1919397565765352, 0.2311597612273352)","(0.1610891903916623, 0.2311597612273352)","(0.13906813228018872, 0.2311597612273352)","(0.18954928936721654, 0.2311597612273352)","(0.1770743599073859, 0.2311597612273352)","(0.2017481460909238, 0.23166229122431678)","(0.14516370210137425, 0.2316622912243168)","(0.18540565340750084, 0.23194588754667153)","(0.20796699744547245, 0.232357152272841)","(0.18585531761927568, 0.232357152272841)","(0.18106231397651612, 0.23235715227284104)","(0.1815661558514138, 0.232357152272841)","(0.17987318566315752, 0.23235715227284104)","(0.17716676760043487, 0.23235715227284104)","(0.17069925063779823, 0.232357152272841)","(0.16908772158596103, 0.232357152272841)","(0.16532680196299085, 0.232357152272841)","(0.15344522114362255, 0.232357152272841)","(0.14865655064358627, 0.232357152272841)","(0.13791424147248435, 0.23235715227284104)","(0.13404220329409544, 0.232357152272841)","(0.12520118953333725, 0.232357152272841)","(0.11719067766975992, 0.23235715227284104)","(0.11131236775829166, 0.23235715227284104)","(0.10474807994068716, 0.232357152272841)","(0.047218135853899994, 0.22395087204814737)","(0.040457624387949434, 0.22395087204814737)","(0.03586570944528697, 0.22395087204814737)","(0.03113773495666896, 0.22395087204814737)","(0.02840444155924898, 0.22395087204814737)","(0.020351664339643475, 0.22395087204814737)","(0.01637073247155375, 0.22395087204814737)","(0.015539024774168042, 0.2239508720481474)","(0.014195905433305353, 0.22395087204814737)","(0.012747517570550374, 0.22395087204814737)","(0.011599543006186087, 0.22395087204814737)","(0.009645533540150231, 0.22395087204814737)","(0.008300433661323641, 0.22395087204814737)","(0.007310940964056167, 0.22395087204814737)","(0.006257857134592508, 0.22395087204814737)","(0.005771897163548032, 0.22395087204814737)","(0.005043375404202176, 0.22395087204814737)"
2002,"(0.21163538627316414, 0.23328137790510484)","(0.16560569253561155, 0.23328137790510484)","(0.19536427898426698, 0.23328137790510484)","(0.16571902137856143, 0.23328137790510484)","(0.14245658311407078, 0.23328137790510484)","(0.19513903291035153, 0.23328137790510484)","(0.1819261931585889, 0.23328137790510484)","(0.2068982770300555, 0.23504063596432215)","(0.15119520603390454, 0.23504063596432215)","(0.192609123401298, 0.23526311790654802)","(0.20835256100667546, 0.23410898802265462)","(0.18783196158674195, 0.23410898802265462)","(0.1801642481443039, 0.23410898802265462)","(0.17883552702952527, 0.23410898802265462)","(0.17170298338594986, 0.23410898802265462)","(0.16940520348231283, 0.23410898802265462)","(0.1666930513699757, 0.23410898802265462)","(0.16226082507280445, 0.23410898802265462)","(0.16158426730893113, 0.23410898802265462)","(0.15044099988455317, 0.23410898802265462)","(0.1446347173620508, 0.23410898802265462)","(0.1370644015331738, 0.23410898802265462)","(0.13073449563455752, 0.23410898802265462)","(0.12658151161611772, 0.23410898802265462)","(0.12203537549434049, 0.23410898802265462)","(0.11056221444933731, 0.23410898802265462)","(0.10290717771847692, 0.23410898802265462)","(0.04714187991022577, 0.22773230700497968)","(0.03846475839678588, 0.22773230700497965)","(0.03169597057705488, 0.22773230700497965)","(0.02532361825716061, 0.22773230700497968)","(0.022212642512944223, 0.22773230700497968)","(0.021399193119987617, 0.22773230700497965)","(0.018095159768399142, 0.22773230700497968)","(0.015443272087131473, 0.22773230700497968)","(0.013423918669906013, 0.22773230700497965)","(0.01240123057913772, 0.22773230700497965)","(0.010640326604495882, 0.22773230700497965)","(0.008966529856931287, 0.22773230700497965)","(0.007640417341916228, 0.22773230700497965)","(0.006681936147197497, 0.22773230700497965)","(0.006008212901927621, 0.22773230700497968)","(0.005555094934791144, 0.22773230700497965)","(0.004961160089355993, 0.22773230700497965)"
2003,"(0.21834700691184633, 0.23988222606045265)","(0.16641411960650512, 0.23988222606045267)","(0.19987019328154565, 0.23988222606045265)","(0.16629437166466257, 0.23988222606045265)","(0.14473263430551003, 0.23988222606045265)","(0.2038703420987584, 0.23988222606045265)","(0.18471576062545417, 0.23988222606045267)","(0.1985891750129679, 0.22879557287024033)","(0.13990162235547307, 0.22879557287024033)","(0.189162194545008, 0.22959472081437224)","(0.20785828821386063, 0.22734694930340762)","(0.190200994862424, 0.22734694930340765)","(0.18445979875531007, 0.22734694930340762)","(0.17731258436763997, 0.22734694930340762)","(0.17273411351080442, 0.22734694930340762)","(0.17201564664012614, 0.22734694930340762)","(0.16617381545970497, 0.22734694930340765)","(0.16707518380126593, 0.22734694930340762)","(0.16396202022822495, 0.22734694930340762)","(0.16019313387336204, 0.22734694930340765)","(0.1482800160186199, 0.22734694930340762)","(0.14351869481533913, 0.22734694930340762)","(0.13555575264003164, 0.22734694930340762)","(0.11979682131108087, 0.22734694930340762)","(0.11625617367381874, 0.22734694930340762)","(0.11119371396630555, 0.22734694930340762)","(0.10395311510349231, 0.22734694930340762)","(0.046284078555659705, 0.23489404490660107)","(0.03489399434458147, 0.23489404490660107)","(0.015933413408444837, 0.23489404490660107)","(0.013436103447969626, 0.23489404490660107)","(0.011977217098995664, 0.23489404490660107)","(0.01130963488955314, 0.23489404490660107)","(0.010559304657530149, 0.23489404490660107)","(0.010062210226400229, 0.23489404490660107)","(0.009723385972407178, 0.23489404490660107)","(0.009303505813043001, 0.23489404490660107)","(0.008403732830274329, 0.23489404490660107)","(0.0075099210407408344, 0.23489404490660107)","(0.007047906915807695, 0.23489404490660107)","(0.006557110403302199, 0.23489404490660107)","(0.00633565027127356, 0.23489404490660107)","(0.00609570400637979, 0.23489404490660107)","(0.005033540759160729, 0.23489404490660104)"
2004,"(0.21428701413614681, 0.23659580424003157)","(0.1699624821539223, 0.23659580424003157)","(0.19818358162457397, 0.23659580424003157)","(0.16740827495830748, 0.23659580424003157)","(0.1397281150065308, 0.23659580424003157)","(0.1989908319003964, 0.23659580424003157)","(0.17755419286327345, 0.23659580424003157)","(0.1961414464131072, 0.2294568430089104)","(0.13908793140646325, 0.2294568430089104)","(0.19064291340524442, 0.23577373553917041)","(0.2178394985645422, 0.2320765658829837)","(0.19689384651450204, 0.2320765658829837)","(0.1937701041294974, 0.23207656588298373)","(0.1941368523926405, 0.2320765658829837)","(0.19056560969512712, 0.23207656588298373)","(0.1873467541890362, 0.23207656588298373)","(0.18336572722063288, 0.2320765658829837)","(0.17955975595257115, 0.23207656588298367)","(0.1724113434459605, 0.23207656588298373)","(0.16973385125425444, 0.23207656588298373)","(0.15419610980254828, 0.2320765658829837)","(0.1470556498853128, 0.2320765658829837)","(0.1413565783593379, 0.23207656588298373)","(0.1327771671023868, 0.2320765658829837)","(0.12222110887682443, 0.2320765658829837)","(0.11653929335643168, 0.2320765658829837)","(0.10915215244846715, 0.2320765658829837)","(0.04620241460583491, 0.23435384280550295)","(0.03115293571645688, 0.23435384280550292)","(0.013763765368350412, 0.23435384280550292)","(0.011234928418961248, 0.23435384280550295)","(0.009938880779945711, 0.23435384280550295)","(0.00789460205641769, 0.23435384280550292)","(0.00714539513590399, 0.23435384280550292)","(0.006627891127907335, 0.23435384280550292)","(0.0059287769535721156, 0.23435384280550295)","(0.005565070021725562, 0.23435384280550295)","(0.00513483556986048, 0.23435384280550295)","(0.004861974480313427, 0.23435384280550292)","(0.0046258902813822375, 0.23435384280550295)","(0.0032325079569220476, 0.23435384280550295)","(0.0030717894758390124, 0.23435384280550292)","(0.0027140674621568732, 0.23435384280550292)","(0.002621442326205441, 0.23435384280550295)"
2005,"(0.20825864555954313, 0.2312914891062016)","(0.16682560217323855, 0.2312914891062016)","(0.19395874301245514, 0.2312914891062016)","(0.16566552322610906, 0.2312914891062016)","(0.13836987722486596, 0.2312914891062016)","(0.1939919737716939, 0.2312914891062016)","(0.17385595484516997, 0.2312914891062016)","(0.18911902119367585, 0.22363454828422352)","(0.13837256297822997, 0.22363454828422352)","(0.1877697235614761, 0.23375624242327772)","(0.194022044652677, 0.22943605617205354)","(0.18360001788954014, 0.22943605617205354)","(0.18018320747730246, 0.22943605617205354)","(0.1791269426190755, 0.22943605617205354)","(0.1756658476248913, 0.22943605617205354)","(0.1715658455306239, 0.22943605617205354)","(0.16756495448623218, 0.22943605617205354)","(0.1647133338354112, 0.22943605617205354)","(0.16048630926147864, 0.22943605617205354)","(0.15732739036045526, 0.22943605617205354)","(0.1471668480564665, 0.22943605617205354)","(0.1407182202719442, 0.22943605617205354)","(0.13546701435023448, 0.22943605617205354)","(0.12969325374530932, 0.22943605617205354)","(0.12351966079224987, 0.22943605617205354)","(0.1168213721470495, 0.22943605617205354)","(0.11169079422650936, 0.22943605617205354)","(0.04271545688803669, 0.23062594835194422)","(0.018944607372436376, 0.23062594835194422)","(0.013906458474195742, 0.23062594835194422)","(0.010270664333014596, 0.23062594835194422)","(0.00910891817221546, 0.23062594835194422)","(0.008582063935486007, 0.23062594835194422)","(0.007917125418305734, 0.23062594835194422)","(0.007263031073774546, 0.23062594835194422)","(0.005749190964780447, 0.23062594835194422)","(0.0052726115409038295, 0.23062594835194422)","(0.004191233741839681, 0.23062594835194422)","(0.003715425007025184, 0.23062594835194422)","(0.0030299483887219953, 0.23062594835194422)","(0.002782354358985555, 0.23062594835194422)","(0.0023231048721026803, 0.23062594835194422)","(0.002194440594168925, 0.23062594835194422)","(0.0019890898337295033, 0.23062594835194425)"
2006,"(0.21375956045876796, 0.2365848618880939)","(0.16295472694089788, 0.2365848618880939)","(0.19791269647661713, 0.2365848618880939)","(0.16259891492941536, 0.2365848618880939)","(0.13738030702465912, 0.23658486188809388)","(0.2059333491520056, 0.23658486188809388)","(0.17989293133645987, 0.23658486188809388)","(0.1942855349155518, 0.22524667483427221)","(0.14133397397417308, 0.22524667483427221)","(0.1859796457849988, 0.23433002320593405)","(0.2046892851331688, 0.22915710023557154)","(0.1904136741771922, 0.22915710023557156)","(0.1862042464740364, 0.22915710023557154)","(0.18725465721404114, 0.22915710023557154)","(0.17613221106926533, 0.22915710023557154)","(0.1745893641912451, 0.22915710023557154)","(0.17288701158693762, 0.22915710023557154)","(0.16983234418522622, 0.22915710023557154)","(0.16509643787736192, 0.22915710023557154)","(0.1625857969444989, 0.22915710023557154)","(0.1583231077230498, 0.22915710023557154)","(0.15174330068252198, 0.22915710023557154)","(0.146416944527113, 0.22915710023557154)","(0.13900170603133002, 0.22915710023557154)","(0.12943662249371482, 0.22915710023557154)","(0.12523306215572919, 0.22915710023557154)","(0.11755787915222786, 0.22915710023557154)","(0.050821382626223766, 0.23657698664359517)","(0.022011405251025448, 0.23657698664359517)","(0.013353993000007726, 0.23657698664359517)","(0.012138904631585902, 0.23657698664359514)","(0.01086739085863408, 0.23657698664359517)","(0.009688422346331218, 0.23657698664359514)","(0.009454340425119862, 0.23657698664359517)","(0.007739139777072878, 0.23657698664359517)","(0.007168403562764607, 0.23657698664359517)","(0.0063302426192680455, 0.23657698664359517)","(0.005525818487084538, 0.23657698664359514)","(0.004967618225297439, 0.23657698664359517)","(0.0032441380536683186, 0.23657698664359517)","(0.002982287023151014, 0.23657698664359517)","(0.0027544456615307303, 0.23657698664359517)","(0.0025484866974257604, 0.23657698664359514)","(0.002135559842970559, 0.23657698664359517)"
2007,"(0.22253587129612518, 0.24970270904818206)","(0.1706800963439739, 0.24970270904818204)","(0.20183798669403502, 0.24970270904818204)","(0.1692517390255983, 0.24970270904818204)","(0.1443132148835592, 0.24970270904818204)","(0.21581763014077526, 0.24970270904818204)","(0.1836118707026596, 0.24970270904818204)","(0.1916121999141391, 0.21998038159718575)","(0.1428438298265024, 0.21998038159718575)","(0.19241540510228103, 0.2450258204101597)","(0.20062501952278886, 0.24205464775712246)","(0.1932901717700128, 0.24205464775712246)","(0.19414045299331378, 0.24205464775712246)","(0.1818136347308133, 0.24205464775712246)","(0.18137602337868614, 0.24205464775712246)","(0.17780361132191247, 0.24205464775712246)","(0.17440001125778504, 0.24205464775712246)","(0.17311277407137798, 0.24205464775712246)","(0.17142057435500324, 0.24205464775712246)","(0.16881868423515653, 0.24205464775712246)","(0.1532870160663305, 0.24205464775712246)","(0.15082010277988817, 0.24205464775712246)","(0.1356997170351381, 0.24205464775712246)","(0.12348565592779083, 0.24205464775712243)","(0.11575763395965648, 0.24205464775712246)","(0.11118696411600505, 0.24205464775712246)","(0.10790537876612809, 0.24205464775712246)","(0.0841576981364809, 0.24967796359007127)","(0.06782817208921597, 0.24967796359007127)","(0.04248176032764241, 0.24967796359007124)","(0.03738709668741475, 0.24967796359007127)","(0.02877988730317358, 0.24967796359007127)","(0.02593808318959265, 0.24967796359007127)","(0.023743697818477728, 0.24967796359007127)","(0.020949982329082045, 0.24967796359007124)","(0.019706837824737887, 0.24967796359007124)","(0.01840083880841546, 0.24967796359007127)","(0.017051111107970356, 0.24967796359007127)","(0.015210749890291189, 0.24967796359007124)","(0.012775592137768648, 0.24967796359007127)","(0.011917451519207993, 0.24967796359007124)","(0.010932677733184513, 0.24967796359007124)","(0.010338434036206979, 0.24967796359007127)","(0.009733051740023453, 0.24967796359007127)"
2008,"(0.25417053212715685, 0.276866086090517)","(0.19872219155478163, 0.27686608609051694)","(0.23283117280617063, 0.276866086090517)","(0.19466286471217029, 0.27686608609051694)","(0.16423864005395164, 0.276866086090517)","(0.23867930265385995, 0.276866086090517)","(0.20458788738842212, 0.276866086090517)","(0.21025977578095514, 0.23547291705755202)","(0.14985943968492302, 0.23547291705755202)","(0.20847007920196126, 0.2582112335647726)","(0.21042438052460413, 0.2511026640042343)","(0.20461403966903405, 0.2511026640042343)","(0.19031737330385237, 0.2511026640042343)","(0.18642301312091755, 0.2511026640042343)","(0.19055046780989612, 0.2511026640042343)","(0.1877071404381708, 0.2511026640042343)","(0.17762204964581366, 0.2511026640042343)","(0.17544602572016324, 0.2511026640042343)","(0.16849394257654876, 0.25110266400423437)","(0.1654972982665661, 0.25110266400423437)","(0.1567432731674006, 0.2511026640042343)","(0.15120856019348733, 0.2511026640042343)","(0.1442106047772297, 0.2511026640042343)","(0.1390570497546927, 0.25110266400423437)","(0.12733067381305027, 0.2511026640042343)","(0.12200455681052319, 0.2511026640042343)","(0.11744328693107584, 0.2511026640042343)","(0.05118350262108281, 0.27688183292132423)","(0.03356442579356313, 0.27688183292132423)","(0.028565991050463174, 0.27688183292132423)","(0.02315966889323035, 0.27688183292132423)","(0.020493245447002685, 0.27688183292132423)","(0.018683287473859292, 0.2768818329213243)","(0.017668498025251545, 0.27688183292132423)","(0.016480858481507935, 0.27688183292132423)","(0.014920551959279537, 0.27688183292132423)","(0.014104821164517193, 0.27688183292132423)","(0.008659377019358065, 0.2768818329213243)","(0.006671092893932651, 0.27688183292132423)","(0.005161873485273418, 0.2768818329213243)","(0.004842615474465079, 0.27688183292132423)","(0.004244426796461116, 0.27688183292132423)","(0.003873373033162649, 0.27688183292132423)","(0.0034994933773979304, 0.2768818329213243)"
2009,"(0.22443805238673578, 0.24747132865953456)","(0.1810112965217952, 0.24747132865953456)","(0.204114689746791, 0.24747132865953456)","(0.17868968480927158, 0.24747132865953456)","(0.15077300400503824, 0.24747132865953453)","(0.21401149436052183, 0.24747132865953456)","(0.18675450779322125, 0.24747132865953456)","(0.19502191196170174, 0.2194636152766109)","(0.14676347240310259, 0.21946361527661087)","(0.19629093760994168, 0.24766772732005066)","(0.22947368491920941, 0.2459774570025836)","(0.21952433531830573, 0.24597745700258358)","(0.20605704516415552, 0.2459774570025836)","(0.20081545878581378, 0.2459774570025836)","(0.19823882160901557, 0.2459774570025836)","(0.19603564716460392, 0.2459774570025836)","(0.1936212532200585, 0.24597745700258358)","(0.19063286926173176, 0.2459774570025836)","(0.18802345979713778, 0.24597745700258358)","(0.18597471451349826, 0.2459774570025836)","(0.1810762852876593, 0.24597745700258358)","(0.1757863852002217, 0.2459774570025836)","(0.17200752113044346, 0.2459774570025836)","(0.16424124075137708, 0.24597745700258358)","(0.156537312303199, 0.2459774570025836)","(0.15135002725996013, 0.2459774570025836)","(0.13585020584555932, 0.2459774570025836)","(0.06885636343425904, 0.2478030914913782)","(0.05580225771560099, 0.2478030914913782)","(0.03724261484813173, 0.2478030914913782)","(0.0332282225871785, 0.24780309149137816)","(0.02875474910756604, 0.2478030914913782)","(0.02565383237066161, 0.2478030914913782)","(0.024345743430074233, 0.2478030914913782)","(0.022455016282477955, 0.2478030914913782)","(0.020445857352082104, 0.2478030914913782)","(0.01883549190846868, 0.24780309149137816)","(0.015766003157818554, 0.2478030914913782)","(0.014712581608429282, 0.24780309149137816)","(0.013648573926524377, 0.2478030914913782)","(0.007595810594017319, 0.2478030914913782)","(0.00631729037592434, 0.2478030914913782)","(0.005389674458513852, 0.2478030914913782)","(0.004568359270300463, 0.2478030914913782)"
