,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,13,7,1,15,8,34,39,10,19,87,69,102,119,83,34,38,50,93,9,6,24,34,41,51,31,6,2,85,109,132,86,52,4,201,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,9,3,0,0,36,29,31,65,20,11,24,5,97,50,20,0,5,2,4,9,12,32,42,55,35,10,18,67,71,136,133,99,51,9,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,5,8,22,5,20,26,19,65,45,23,111,108,61,9,15,6,183,6,5,28,9,43,5,18,39,27,4,75,52,138,104,56,14,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,5,8,22,5,20,57,15,79,59,73,32,18,141,18,146,109,87,3,13,10,25,21,34,2,22,85,35,66,24,118,110,62,20,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABBV,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,-1.0,-1.0,10,7,1,15,8,26,30,23,62,68,58,17,62,42,26,18,28,13,5,18,20,6,24,15,16,74,72,44,54,64,18,102,178,168,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,6,11,29,7,7,55,39,51,31,9,38,118,71,19,191,158,110,4,19,18,35,12,52,32,7,22,1,115,73,27,13,33,143,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
ABI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,9,10,14,21,9,22,60,50,5,26,97,53,6,47,164,160,112,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,4,12,2,7,7,55,39,74,29,90,36,5,10,179,144,101,53,1,4,5,33,38,0,34,18,25,56,9,129,124,141,93,51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,9,6,20,34,18,54,25,0,27,72,0,41,27,146,171,128,160,1,17,24,34,41,51,31,17,2,83,82,40,89,55,69,200,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAS,6.0,67.0,52.0,523.0,5239.0,40.0,4020.0,800.0,850.0,4,5,18,9,32,16,24,44,58,21,43,93,109,79,152,117,74,26,2,2,27,5,28,21,61,72,74,51,67,25,34,26,1,215,171,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,2,2,6,20,38,30,9,53,31,79,64,23,101,81,37,87,51,4,9,10,11,11,19,50,9,58,79,68,46,93,47,149,65,163,119,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,8,13,27,9,35,11,59,37,17,99,22,121,158,5,17,40,32,1,14,8,29,46,45,25,65,16,70,114,72,26,72,24,27,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADI,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,2,3,5,10,24,3,34,12,0,4,86,134,87,153,118,75,27,2,12,22,10,8,18,46,66,46,48,108,79,20,147,158,116,176,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADM,2.0,20.0,31.0,311.0,3112.0,30.0,3020.0,970.0,112.0,-1,9,7,7,22,6,16,2,0,27,15,64,20,106,171,136,200,191,7,16,26,4,14,56,65,40,20,74,79,37,22,20,122,190,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1
ADP,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,25,7,1,15,8,26,30,23,62,68,42,50,71,14,128,93,198,150,8,8,14,19,34,3,60,35,75,52,12,66,116,82,34,23,190,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,3,8,13,22,7,7,57,15,79,59,73,32,18,141,18,146,109,87,8,18,7,16,36,11,30,56,36,13,91,19,23,103,58,175,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
ADSK,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,8,13,27,9,35,11,59,37,17,99,22,121,158,5,17,40,32,7,16,26,4,14,56,65,40,20,74,79,37,22,20,122,190,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
AE,5.0,51.0,42.0,424.0,4247.0,10.0,1010.0,925.0,355.0,5,3,9,28,15,37,40,45,36,64,8,68,26,105,53,63,110,195,7,16,26,4,14,56,65,40,20,74,79,37,22,20,100,211,167,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AEE,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,1,15,24,25,41,20,6,43,23,1,65,52,122,81,46,3,217,8,15,6,23,23,29,43,54,64,90,50,8,117,83,35,171,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
AEP,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,1,15,24,25,41,20,6,43,23,1,65,52,122,81,46,3,217,8,15,3,23,3,25,5,49,29,6,116,74,126,92,44,2,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,720.0,5,1,15,24,25,41,20,6,43,23,1,65,52,122,81,46,3,217,8,8,14,19,34,3,60,35,75,52,12,66,142,56,11,177,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AET,6.0,63.0,52.0,524.0,5241.0,35.0,3510.0,905.0,287.0,14,2,5,23,33,36,15,1,11,8,51,90,46,15,112,77,132,238,6,5,28,9,43,5,44,19,26,29,110,77,31,30,159,117,183,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,825.0,4,4,12,13,22,6,16,2,15,71,63,53,95,48,108,73,204,156,8,18,7,16,36,11,30,56,36,13,61,19,23,103,58,175,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
AGN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,283.0,10,8,11,29,3,4,8,20,68,82,61,52,4,52,148,113,70,234,1,17,15,17,30,37,17,20,23,2,107,103,57,114,66,24,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AIG,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,830.0,4,4,12,29,24,28,46,33,73,84,62,21,21,78,113,48,57,45,8,8,14,19,34,3,60,35,75,52,12,66,116,82,34,23,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
AIV,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,800.0,850.0,26,6,4,18,35,11,5,4,4,37,41,24,117,70,109,74,31,94,8,18,6,27,6,54,37,31,76,62,13,67,100,154,106,64,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AIZ,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,-1.0,-1.0,4,4,12,13,22,6,16,2,15,71,63,53,95,48,108,73,204,156,4,7,23,1,39,14,51,26,6,42,77,35,38,4,115,205,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJG,6.0,64.0,52.0,524.0,5242.0,40.0,4030.0,800.0,330.0,25,6,7,13,22,6,22,41,61,74,52,11,90,98,35,49,61,236,6,10,11,11,19,50,49,24,4,82,73,31,154,148,99,212,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AKAM,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,8,13,22,9,35,57,15,79,59,73,32,18,141,18,146,109,87,2,12,22,0,9,49,29,67,47,24,19,47,50,43,12,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKS,3.0,33.0,33.0,331.0,3311.0,15.0,1510.0,970.0,460.0,11,0,9,10,14,3,38,66,14,25,92,80,36,153,123,187,172,48,4,19,18,35,12,52,32,7,22,1,8,134,111,172,29,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALB,2.0,28.0,32.0,325.0,3251.0,15.0,1510.0,970.0,167.0,15,0,9,10,14,33,12,26,58,21,43,93,109,154,49,133,79,125,6,10,3,21,20,43,23,46,78,55,104,111,56,63,169,127,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGN,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,8,13,6,9,35,11,59,37,63,85,22,121,58,6,127,36,127,2,12,22,0,9,49,29,67,47,24,19,47,50,43,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ALK,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,9,3,0,0,36,29,31,65,20,11,24,5,97,50,20,0,5,2,8,15,3,28,22,44,24,21,28,91,22,90,44,166,144,199,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ALL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,835.0,14,5,7,13,22,6,16,2,15,71,63,53,102,55,3,54,11,185,6,7,23,1,39,9,55,68,48,25,6,61,143,109,61,187,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLE,3.0,34.0,33.0,332.0,3325.0,20.0,2010.0,-1.0,-1.0,15,8,13,2,9,35,57,15,74,29,90,49,5,10,179,180,122,179,4,9,12,32,40,12,36,73,53,30,65,23,55,21,133,91,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
