,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,13,1,12,11,30,15,7,68,37,4,59,25,98,32,66,133,214,149,7,9,6,31,39,15,52,39,31,21,116,99,114,92,72,197,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,0,6,23,24,27,19,47,11,77,46,6,2,105,34,65,97,222,0,19,9,13,43,59,21,9,24,52,119,97,76,60,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,7,2,6,31,22,55,48,56,66,35,99,65,25,139,145,68,18,6,18,8,39,23,12,24,73,65,55,30,34,150,134,114,94,202,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,4,16,13,19,34,32,3,15,48,17,45,60,70,48,36,25,14,2,0,26,16,5,31,42,17,74,38,4,118,97,81,61,122,102,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ABI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,7,7,14,16,17,27,32,6,35,20,2,121,78,7,14,7,159,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,9,10,12,9,12,24,37,4,23,4,90,27,1,3,6,1,8,4,16,19,33,22,11,2,35,54,45,9,139,28,165,25,140,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,4,14,0,6,23,21,44,19,14,61,95,32,37,21,77,145,80,5,17,17,38,10,17,7,2,27,36,93,120,112,107,197,177,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ACAS,6.0,67.0,52.0,523.0,5239.0,40.0,4020.0,800.0,850.0,4,9,12,11,26,15,4,24,3,85,54,114,135,68,38,134,190,11,6,18,2,24,13,2,61,27,9,5,22,104,153,11,42,176,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,25,5,9,26,15,28,23,52,10,37,16,7,133,17,151,32,187,122,0,14,18,8,47,55,46,33,83,73,114,92,71,55,35,15,214,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,5,2,6,31,22,55,48,56,66,35,99,65,94,138,102,124,95,6,13,8,39,23,12,3,73,65,55,30,8,72,56,36,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
ADI,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,9,10,12,9,12,24,37,4,23,4,90,27,1,3,6,1,8,6,18,8,39,44,33,8,11,3,9,29,31,127,111,168,148,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADM,2.0,20.0,31.0,311.0,3112.0,30.0,3020.0,970.0,112.0,-1,1,12,4,30,11,7,58,26,55,6,116,88,63,146,101,93,83,9,11,27,35,24,13,20,71,63,83,87,65,44,149,129,109,89,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
ADP,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,2,9,10,12,9,12,24,37,4,23,4,90,27,1,3,6,1,8,1,5,12,34,33,57,53,58,16,32,83,98,132,75,195,133,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
ADS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,25,7,7,14,16,17,27,32,6,35,20,2,121,78,7,14,7,159,1,3,12,6,36,41,32,19,11,1,50,138,117,101,81,61,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ADSK,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,9,10,12,9,12,24,37,4,23,4,90,27,1,3,6,1,8,7,15,22,12,2,25,55,42,34,24,100,78,141,125,105,199,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
AE,5.0,51.0,42.0,424.0,4247.0,10.0,1010.0,925.0,355.0,5,3,4,2,33,0,34,7,60,86,15,29,139,82,168,100,30,88,0,0,10,26,35,24,15,75,67,57,32,10,155,139,119,99,79,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEE,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,4,14,16,10,43,41,10,47,60,29,106,25,84,129,150,53,31,5,17,25,14,1,37,62,49,41,43,94,95,74,58,38,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEP,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,7,7,16,10,43,41,10,47,60,29,106,25,84,129,150,53,31,5,14,14,4,1,37,60,61,66,99,74,137,31,100,194,174,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,720.0,5,7,19,7,16,11,27,20,53,17,21,9,107,79,154,86,16,236,1,7,12,27,16,44,35,22,77,85,54,122,101,85,65,45,25,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
AET,6.0,63.0,52.0,524.0,5241.0,35.0,3510.0,905.0,287.0,14,8,8,15,7,26,20,28,17,59,28,36,5,55,20,17,40,22,0,19,18,13,43,45,36,70,62,91,66,94,73,57,17,17,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
AFL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,825.0,4,8,19,7,30,19,7,64,31,73,87,25,44,106,35,177,107,42,1,5,16,34,33,57,53,41,48,76,103,77,56,40,20,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,283.0,10,7,7,14,16,17,27,32,6,35,20,2,121,78,7,14,7,159,7,15,22,32,32,21,12,3,79,69,68,46,25,9,190,170,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AIG,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,830.0,4,8,19,7,30,11,7,20,64,19,0,25,106,40,68,1,180,16,2,19,9,22,31,20,11,48,86,2,82,60,39,23,132,112,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIV,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,800.0,850.0,26,6,13,9,35,2,30,9,21,27,32,16,38,157,86,57,179,114,1,19,9,34,33,57,53,41,46,76,106,84,63,61,7,217,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZ,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,-1.0,-1.0,4,8,19,7,3,19,49,57,24,87,65,100,11,142,13,144,198,133,2,19,9,22,31,20,11,48,40,30,5,60,39,23,132,112,92,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
AJG,6.0,64.0,52.0,524.0,5242.0,40.0,4030.0,800.0,330.0,25,7,7,14,16,20,57,15,79,52,36,49,102,36,161,14,7,201,0,14,18,8,47,55,46,33,83,73,114,92,71,55,35,15,214,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
AKAM,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,1,1,4,38,21,13,66,55,89,10,19,6,152,81,13,142,113,6,13,20,10,37,46,37,24,87,82,109,87,66,50,170,10,75,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AKS,3.0,33.0,33.0,331.0,3311.0,15.0,1510.0,970.0,460.0,11,1,17,20,22,16,33,69,36,3,94,104,41,43,19,24,10,9,2,8,26,16,26,43,48,44,80,70,45,23,2,133,15,93,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
ALB,2.0,28.0,32.0,325.0,3251.0,15.0,1510.0,970.0,167.0,15,1,12,11,26,15,4,24,3,85,54,114,135,68,38,134,64,235,7,9,11,17,8,40,31,18,10,0,42,20,60,96,116,201,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGN,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,1,17,20,22,16,33,69,36,3,94,104,41,43,93,54,42,69,6,13,20,10,37,46,43,30,22,12,90,134,113,97,77,57,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
ALK,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,9,8,15,1,37,40,52,54,14,63,42,44,7,45,18,164,94,160,0,19,9,13,43,59,21,9,24,52,119,97,76,60,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
ALL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,835.0,4,8,19,7,3,19,49,57,24,87,65,100,11,142,13,144,198,133,2,8,26,16,5,31,42,10,21,8,4,18,40,162,142,63,223,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
ALXN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,147.0,10,5,9,26,15,28,23,52,68,54,23,96,33,12,12,16,8,239,6,18,8,39,44,33,8,11,3,9,39,51,124,38,108,87,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
AMAT,3.0,35.0,33.0,333.0,3332.0,45.0,4530.0,940.0,247.0,13,9,10,12,9,12,24,37,4,23,4,90,27,1,3,6,1,8,7,13,23,2,30,19,10,72,35,54,58,47,157,157,137,117,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
AMD,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,9,10,12,9,12,24,37,4,23,4,90,27,1,3,6,1,8,0,2,18,21,18,42,6,29,55,40,101,79,120,104,165,145,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AME,3.0,38.0,33.0,334.0,3345.0,20.0,2010.0,925.0,355.0,15,9,10,12,9,12,24,37,4,23,4,90,27,1,3,6,1,8,7,9,4,23,39,15,52,20,75,65,111,89,68,52,32,12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMG,6.0,62.0,52.0,523.0,5239.0,40.0,4020.0,800.0,823.0,25,8,11,18,14,11,51,20,64,19,0,50,106,40,62,1,180,16,3,12,24,28,17,6,45,66,73,75,102,80,59,137,117,89,57,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
