,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,10,5,1,22,30,10,33,54,24,8,46,100,85,27,91,31,7,86,9,5,19,38,8,37,61,42,79,17,119,60,3,127,76,10,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
AA,3.0,33.0,33.0,331.0,3313.0,15.0,1510.0,-1.0,-1.0,17,1,10,25,24,33,9,66,52,4,25,24,61,3,73,62,44,43,4,15,24,24,16,44,9,76,82,55,78,114,57,154,126,207,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
AAL,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,1,2,9,7,31,16,28,52,26,40,95,35,49,17,19,50,23,211,5,6,10,16,24,20,45,6,1,24,108,49,150,151,172,106,168,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,18,8,6,1,35,26,52,6,71,57,27,83,73,15,26,23,8,201,6,17,27,25,49,22,4,56,27,0,26,77,20,84,95,184,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,3,2,3,0,16,32,2,32,2,54,24,60,58,9,168,180,121,62,2,12,16,31,25,7,35,67,38,12,70,82,101,108,57,32,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,-1.0,-1.0,10,9,11,28,4,48,35,48,36,34,41,77,51,89,140,80,21,52,5,11,25,35,7,33,60,26,63,57,32,10,79,65,20,23,31,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,8,12,24,2,20,40,10,55,15,62,70,131,73,16,15,1,1,3,6,13,8,39,18,52,68,31,77,90,108,124,89,80,135,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,5,2,29,3,15,56,42,12,52,5,58,106,92,131,191,194,100,1,2,5,5,17,55,37,3,47,60,47,89,123,152,101,138,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,5,2,29,3,15,56,42,12,52,5,22,93,22,42,17,208,177,9,9,1,33,10,36,2,24,69,80,24,41,77,113,69,79,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,2,7,17,11,38,25,31,11,22,67,81,21,14,37,56,104,45,164,9,5,19,19,26,28,61,42,13,37,107,69,12,158,107,41,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
