,tic,cluster_label
0,TDG,13
1,GR,18
2,RTX,9
3,HON,11
4,TXT,19
5,CA,2
6,MSFT,2
7,ORCL,2
8,BMC,2
9,NLOK,2
10,CTXS,2
11,FFIV,2
12,RHT,2
13,CRM,2
14,TDC,2
15,IRM,25
16,VRSN,2
17,MKTX,2
18,JKHY,25
19,ANSS,2
20,MSCI,2
21,ADBE,2
22,AME,15
23,PNW,5
24,AEP,5
25,GAS,5
26,CEG,5
27,ED,5
28,CMS,5
29,DTV,5
30,D,5
31,DUK,5
32,EP,5
33,ATO,5
34,NEE,5
35,CNP,5
36,EVRG,5
37,ETR,5
38,ES,5
39,NI,5
40,XEL,5
41,FE,5
42,OKE,5
43,PCG,5
44,SRE,5
45,PPL,5
46,EXC,5
47,POM,5
48,PEG,5
49,STR,5
50,SCG,5
51,EIX,5
52,SO,5
53,TE,5
54,AEE,5
55,WEC,5
56,LNT,5
57,TEG,5
58,NRG,5
59,AT,5
60,AES,5
61,FSLR,13
62,CLF,5
63,BTU,5
64,ADSK,2
65,EA,3
66,TTWO,3
67,ATVI,3
68,AMZN,19
69,INTC,13
70,MU,13
71,MOLX,13
72,TER,13
73,TXN,13
74,MXIM,13
75,XLNX,13
76,MCHP,13
77,AVGO,13
78,LLTC,13
79,SNPS,2
80,CDNS,13
81,AMAT,13
82,KLAC,13
83,LRCX,13
84,A,13
85,LUMN,8
86,T,8
87,LVLT,8
88,LLL,8
89,AXP,4
90,BK,4
91,JPM,4
92,CMA,4
93,C,4
94,FITB,4
95,RF,4
96,MTB,4
97,USB,4
98,FHN,4
99,HBAN,4
100,BAC,4
101,NTRS,4
102,WFC,4
103,PNC,4
104,KEY,4
105,STT,4
106,STI,4
107,ZION,4
108,TFC,4
109,SNV,4
110,PBCT,4
111,SIVB,4
112,COF,4
113,HCBK,4
114,CIT,4
115,JBHT,9
116,R,9
117,ODFL,9
118,CHRW,9
119,UPS,9
120,PCAR,18
121,AAL,9
122,ALK,9
123,DAL,9
124,FDX,9
125,LUV,9
126,UAL,9
127,AMGN,10
128,BMY,10
129,LLY,10
130,MRK,10
131,PFE,10
132,CELG,10
133,REGN,10
134,VRTX,10
135,BIIB,10
136,GILD,10
137,INCY,10
138,NKTR,10
139,ALXN,10
140,ENDP,10
141,DPZ,10
142,DGX,10
143,ABT,10
144,PETM,6
145,SWY,7
146,TGT,6
147,KR,6
148,WMT,6
149,COST,6
150,KIM,26
151,REG,26
152,SPG,26
153,SLG,26
154,FRT,26
155,PSA,26
156,UDR,26
157,EQR,26
158,MAA,26
159,AVB,26
160,PLD,26
161,ESS,26
162,AIV,26
163,LSI,26
164,ARE,26
165,BXP,26
166,EXR,26
167,DLR,26
168,CTAS,19
169,PMCS,13
170,QCOM,13
171,MSI,13
172,PWR,5
173,JBL,13
174,SANM,13
175,O,26
176,TJX,6
177,BIG,6
178,FAST,6
179,GME,6
180,AAP,6
181,FDO,6
182,AZO,6
183,DRE,26
184,SRCL,15
185,WM,5
186,RSG,5
187,EFX,25
188,CVG,25
189,MHS,14
190,CVS,14
191,THC,14
192,UHS,14
193,LH,14
194,HCA,14
195,ESRX,14
