,tic,cluster_label
0,BA,9
1,RTX,18
2,TXT,18
3,HON,15
4,TFX,19
5,CA,2
6,NOVL,2
7,MSFT,2
8,ORCL,2
9,BMC,2
10,NLOK,2
11,MFE,2
12,INTU,2
13,CTXS,2
14,DNB,2
15,ADSK,2
16,ADBE,2
17,DOV,15
18,ADI,13
19,MSI,13
20,AME,15
21,PNW,5
22,AYE,5
23,AEP,5
24,GAS,5
25,CEG,5
26,ED,5
27,CMS,5
28,D,5
29,DUK,5
30,EP,5
31,ATO,5
32,NEE,5
33,CNP,5
34,KMI,5
35,EVRG,5
36,KSE,5
37,ETR,5
38,ES,5
39,NI,5
40,XEL,5
41,FE,5
42,OKE,5
43,PCG,5
44,SRE,5
45,PPL,5
46,EXC,5
47,POM,5
48,PEG,5
49,SCG,5
50,EIX,5
51,SO,5
52,TE,5
53,TXU,5
54,AEE,5
55,WMB,5
56,WEC,5
57,LNT,5
58,TEG,5
59,AES,5
60,EQT,5
61,CTAS,21
62,VFC,22
63,EA,3
64,AMD,13
65,MU,13
66,MXIM,13
67,XLNX,13
68,MCHP,13
69,SNDK,13
70,TER,19
71,LLTC,13
72,CDNS,2
73,SNPS,2
74,AMAT,13
75,KLAC,13
76,LRCX,13
77,VZ,8
78,T,8
79,S,8
80,BK,4
81,CBSS,4
82,JPM,4
83,CMA,4
84,DTV,4
85,RF,4
86,MTB,4
87,FHN,4
88,HBAN,4
89,NTRS,4
90,WFC,4
91,PNC,4
92,KEY,4
93,STT,4
94,ZION,4
95,FRC,4
96,SIVB,4
97,SOV,4
98,COF,4
99,TIN,4
100,BAC,4
101,JBHT,9
102,ODFL,9
103,AAL,9
104,ALK,9
105,DAL,9
106,FDX,9
107,LUV,9
108,UAL,9
109,AMGN,10
110,CELG,10
111,REGN,10
112,CEPH,10
113,MEDI,10
114,VRTX,10
115,BIIB,10
116,GILD,10
117,INCY,10
118,NKTR,10
119,KR,6
120,SVU,6
121,COST,6
122,MCK,20
123,FRT,26
124,DRE,26
125,KIM,26
126,EQR,26
127,REG,26
128,MAA,26
129,PSA,26
130,UDR,26
131,AVB,26
132,ESS,26
133,AIV,26
134,LSI,26
135,HOT,26
136,TLAB,8
137,QCOM,8
138,SANM,13
139,JBL,13
140,SLR,13
141,CVS,6
142,KSS,6
143,JWN,6
144,BBBY,6
145,WMT,6
146,FDO,6
147,TJX,6
148,FAST,6
149,MTW,18
150,AN,5
151,WM,5
152,AW,5
153,SHW,11
154,THC,14
155,UHS,14
156,LH,14
157,HCA,14
158,ESRX,14
159,DVA,14
160,RTN,13
161,SWKS,19
162,LHX,13
163,ECL,7
164,ROST,6
165,TYL,6
166,BIG,6
167,DLTR,6
168,DG,6
169,PETM,6
170,RHI,25
171,PAYX,25
172,AE,5
173,APA,5
174,HP,5
175,MUR,5
176,NBL,5
177,OXY,5
178,COP,5
179,SWN,5
180,ANDV,5
181,PXD,5
182,DVN,5
183,EOG,5
184,COG,5
185,XTO,5
186,NFX,5
187,RRC,17
188,APC,17
189,CVX,5
190,HAL,5
191,ADM,7
192,TEX,18
193,TT,18
194,F,18
195,CAT,19
196,CMI,18
197,BC,18
198,GT,18
199,ITT,18
200,BWA,18
201,SNA,15
202,JOY,15
203,BAX,15
204,BDX,15
205,BIO,15
206,OMC,15
207,IPG,15
208,JCI,15
209,MOLX,15
210,WHR,15
211,SBUX,15
212,MKC,21
213,NKE,22
214,PPG,15
215,TIF,22
216,GE,15
217,AVY,15
218,EXPD,9
219,WRK,11
220,BMS,15
221,SEE,11
222,XRX,2
223,HPQ,13
224,ZBRA,2
225,FCX,17
226,NEM,17
227,ADP,2
228,AVP,20
229,OMX,11
230,IP,15
231,MWV,21
232,RRD,3
233,SPGI,3
234,LEG,11
235,SWK,21
236,DRI,6
237,WFM,6
238,MCD,7
239,ABC,14
240,CAH,14
241,HLT,16
242,MGM,16
243,SLB,13
244,HAS,22
245,MAT,22
246,AXP,4
247,BEN,4
248,LM,4
249,MMC,4
250,MER,4
251,RJF,4
252,MS,4
253,TROW,4
254,SCHW,4
255,CSX,9
256,NSC,9
257,UNP,5
258,WAB,18
259,CPB,7
260,HRL,7
261,TSN,7
262,CAG,7
263,STZ,7
264,DIS,3
265,BDK,11
266,NUE,11
267,AKS,11
268,BLL,11
269,EMR,11
270,PH,11
271,PCP,11
272,ATI,11
273,HOLX,10
274,CHD,20
275,KO,7
276,WEN,7
277,MNST,7
278,PNR,15
279,APH,13
280,IFF,15
281,WST,20
282,ACS,8
283,EFX,14
284,HRB,25
285,FDC,25
286,TSS,4
287,TAP,7
288,CERN,2
289,ROK,13
290,FISV,25
291,CDW,24
292,MDT,10
293,CCL,16
294,ABT,10
295,SIAL,15
296,IDXX,10
297,APOL,14
298,WAT,20
299,PKI,13
300,PEP,7
301,HSY,7
302,GIS,7
303,K,7
304,VMC,5
305,MLM,5
306,FMC,11
307,FLR,15
308,KHC,7
309,ITW,19
310,MHK,22
311,PHM,12
312,NVR,12
313,KBH,12
314,DHI,12
315,LEN,26
316,TWX,2
317,HD,6
318,GPS,22
319,PVH,22
320,JNY,22
321,FOSL,22
322,O,26
323,ALB,15
324,BNI,5
325,PG,21
326,CLX,21
327,ROL,21
328,MDP,3
329,VIAC,3
330,CMCSK,8
331,GHC,8
332,CVC,8
333,DISH,8
334,SSP,3
335,TGNA,3
336,NYT,3
337,TRB,3
338,DJ,3
339,MAR,16
340,HST,26
341,DHR,18
342,MRO,5
343,HES,5
344,ASH,5
345,HFC,5
346,VLO,5
347,PCL,5
348,WY,21
349,BMET,10
350,SYK,10
351,IT,25
352,PBI,15
353,SPLS,6
354,ODP,24
355,LLY,10
356,AGN,10
357,WYE,10
358,BRL,10
359,VTRS,20
360,GLW,11
361,XOM,5
362,APD,15
363,DD,15
364,GR,15
365,HPC,15
366,EMN,11
367,ROH,15
368,R,18
369,PCAR,18
370,FLIR,13
371,OI,11
372,RDC,5
373,RIG,5
374,NBR,5
375,MO,7
376,HAR,23
377,TSCO,6
378,BBY,6
379,SYY,7
380,SWY,21
381,WWY,15
382,WBA,6
383,PEAK,14
384,WELL,14
385,ETN,18
386,VAR,19
387,TMO,11
388,AFL,4
389,GL,4
390,UNM,4
391,MTG,4
392,GMCR,7
393,CAM,11
394,BHI,5
395,DXC,15
396,WDC,13
397,QLGC,13
398,DELL,2
399,INTC,13
400,EMC,2
