,tic,cluster_label
0,BA,11
1,TDG,18
2,RTX,9
3,TXT,18
4,HON,11
5,TT,18
6,PH,11
7,CA,2
8,EMC,2
9,MSFT,2
10,BMC,2
11,NLOK,2
12,CTXS,2
13,RHT,2
14,CRM,2
15,NOW,2
16,TDC,2
17,MKTX,2
18,ADBE,2
19,JKHY,25
20,ANSS,2
21,VRSN,2
22,IRM,25
23,INFO,2
24,MOLX,13
25,PNW,5
26,AEP,5
27,GAS,5
28,ED,5
29,CMS,5
30,DTV,5
31,D,5
32,DUK,5
33,ATO,5
34,NEE,5
35,CNP,5
36,EVRG,5
37,ETR,5
38,ES,5
39,NI,5
40,XEL,5
41,FE,5
42,PCG,5
43,SRE,5
44,PPL,5
45,EXC,5
46,POM,5
47,PEG,5
48,STR,5
49,SCG,5
50,EIX,5
51,SO,5
52,TE,5
53,AEE,5
54,WEC,5
55,LNT,5
56,TEG,5
57,AES,5
58,NRG,5
59,AT,5
60,BTU,5
61,CLF,5
62,ADSK,3
63,EA,3
64,TTWO,3
65,ATVI,3
66,FSLR,13
67,ADI,13
68,INTC,13
69,MU,13
70,TER,13
71,TXN,13
72,XLNX,13
73,MCHP,13
74,SNDK,13
75,LLTC,13
76,MXIM,13
77,SNPS,2
78,CDNS,13
79,AMAT,13
80,KLAC,13
81,LRCX,13
82,LUMN,8
83,T,8
84,LVLT,8
85,LLL,8
86,CHTR,8
87,AXP,4
88,HRB,4
89,JPM,4
90,CMA,4
91,C,4
92,FITB,4
93,RF,4
94,MTB,4
95,USB,4
96,FHN,4
97,HBAN,4
98,WFC,4
99,PNC,4
100,KEY,4
101,STT,4
102,NAVI,4
103,STI,4
104,ZION,4
105,TFC,4
106,SNV,4
107,PBCT,4
108,SIVB,4
109,COF,4
110,HCBK,4
111,GPN,4
112,CIT,4
113,BK,4
114,JBHT,9
115,R,9
116,ODFL,9
117,PCAR,18
118,EXPD,9
119,UPS,9
120,CHRW,9
121,AAL,9
122,ALK,9
123,DAL,9
124,FDX,9
125,LUV,9
126,UAL,9
127,AMGN,10
128,BMY,10
129,LLY,10
130,MRK,10
131,CELG,10
132,REGN,10
133,VRTX,10
134,BIIB,10
135,GILD,10
136,INCY,10
137,NKTR,10
138,ALXN,10
139,ENDP,10
140,DGX,10
141,DPZ,10
142,ZTS,10
143,PFE,10
144,ABBV,10
145,WFM,6
146,SWY,7
147,TGT,6
148,KR,6
149,WMT,6
150,COST,6
151,PETM,6
152,KIM,26
153,REG,26
154,SPG,26
155,MAA,26
156,ESS,26
157,SLG,26
158,FRT,26
159,PSA,26
160,UDR,26
161,EQR,26
162,AVB,26
163,PLD,26
164,AIV,26
165,LSI,26
166,ARE,26
167,BXP,26
168,EXR,26
169,DLR,26
170,CTAS,19
171,COTY,20
172,MSI,8
173,SANM,13
174,TJX,6
175,BIG,6
176,FAST,6
177,SIG,6
178,O,26
179,ORLY,6
180,AAP,6
181,FDO,6
182,AZO,6
183,DRE,26
184,WM,5
185,RSG,5
186,SRCL,10
187,ADP,25
188,CVS,14
189,THC,14
190,UHS,14
191,LH,14
192,HCA,14
193,ESRX,14
194,DVA,14
195,EVHC,14
196,HSIC,14
197,AVGO,13
198,SWKS,13
199,QRVO,13
200,TDY,13
201,ECL,15
202,DG,6
203,ROST,6
204,KSS,6
205,BBBY,6
206,URBN,6
207,TSCO,6
208,DLTR,6
209,ULTA,6
210,DDS,22
211,LB,22
212,JWN,22
213,ANF,22
214,ODP,6
215,SPLS,6
216,RHI,25
217,AE,5
218,HES,5
219,APA,5
220,EQT,5
221,RRC,5
222,MRO,5
223,NBL,5
224,COP,5
225,SWN,5
226,APC,5
227,PXD,5
228,DVN,5
229,EOG,5
230,COG,5
231,NFX,5
232,CNX,5
233,LO,5
234,XEC,5
235,QEP,5
236,FANG,5
237,CXO,5
238,WPX,5
239,MUR,17
240,CVX,5
241,CMI,18
242,APTV,18
243,BWA,18
244,SNA,18
245,GT,18
246,F,18
247,SBUX,7
248,JBL,13
249,BDX,15
250,BC,15
251,OI,15
252,SEE,15
253,SIAL,15
254,WHR,15
255,PM,15
256,NKE,22
257,CBRE,26
258,ADS,15
259,TIF,22
260,MAR,16
261,BMS,11
262,MWV,20
263,PBI,24
264,XRX,2
265,ZBRA,2
266,LXK,2
267,FCX,17
268,JOY,18
269,NEM,17
270,AVP,20
271,EL,20
272,WRK,11
273,PKG,11
274,IP,15
275,RRD,3
276,WEN,6
277,DRI,6
278,YUM,6
279,CMG,7
280,MCD,7
281,CAH,14
282,MCK,14
283,WBA,14
284,ABC,14
285,MGM,16
286,WYNN,16
287,LVS,16
288,HAS,3
289,MAT,3
290,BR,2
291,MMI,25
292,NDAQ,2
293,BEN,4
294,LM,4
295,RJF,4
296,MS,4
297,TROW,4
298,SCHW,4
299,ETFC,4
300,GS,4
301,BLK,4
302,JNS,15
303,NTRS,25
304,IVZ,25
305,AMG,25
306,DNB,19
307,MCO,19
308,CBOE,2
309,CME,19
310,CSX,9
311,NSC,9
312,UNP,9
313,KSU,9
314,WAB,18
315,ALLE,23
316,HRL,7
317,TSN,7
318,AWK,5
319,STZ,7
320,DIS,3
321,TWX,3
322,VIAB,3
323,LEG,11
324,NUE,11
325,X,11
326,AKS,11
327,SWK,11
328,ETN,11
329,ITT,11
330,PCP,11
331,ATI,11
332,HOLX,10
333,GE,15
334,JCI,13
335,TYC,13
336,CLX,20
337,PG,20
338,CL,19
339,CHD,20
340,MNST,7
341,DPS,7
342,KO,7
343,BLL,15
344,PEP,7
345,APH,13
346,EMR,11
347,TEL,13
348,IFF,7
349,FISV,2
350,MA,2
351,V,2
352,FLT,2
353,TSS,4
354,WU,4
355,FIS,25
356,EFX,25
357,TAP,7
358,CERN,14
359,TYL,2
360,COL,13
361,LHX,8
362,FLIR,13
363,NCR,24
364,CDW,24
365,CCL,16
366,RCL,16
367,NCLH,16
368,A,13
369,BIO,10
370,ILMN,10
371,PKI,10
372,TMO,10
373,IDXX,10
374,DHR,10
375,APOL,14
376,WAT,13
377,MTD,15
378,GLW,13
379,GIS,7
380,MKC,7
381,CPB,7
382,HSY,7
383,K,7
384,KRFT,7
385,MDLZ,7
386,CAG,7
387,SJM,7
388,VMC,11
389,CF,5
390,MLM,5
391,MOS,17
392,KHC,7
393,GMCR,7
394,AMD,13
395,NVDA,13
396,WDC,2
397,GRMN,13
398,AAPL,2
399,NFLX,3
400,SNI,3
401,ACAS,4
402,NVR,12
403,KBH,12
404,DHI,12
405,PHM,12
406,LEN,12
407,AOS,11
408,OMC,19
409,IPG,25
410,AKAM,2
411,INTU,2
412,EBAY,2
413,AMZN,19
414,TWTR,2
415,MWW,2
416,BKNG,2
417,EXPE,2
418,GOOGL,2
419,FB,2
420,TRIP,2
421,HD,6
422,L,12
423,LOW,12
424,MAS,11
425,FBHS,23
426,GPS,22
427,PVH,22
428,VFC,22
429,JNY,22
430,FOSL,22
431,RL,22
432,TPR,22
433,UAA,22
434,HBI,22
435,CPRI,22
436,VAR,4
437,NSM,4
438,DFS,4
439,IPGP,13
440,IQV,10
441,DISCK,3
442,MDP,3
443,VIAC,3
444,CMCSK,8
445,GHC,8
446,CVC,8
447,DISH,8
448,TWC,8
449,SSP,3
450,AYI,13
451,ACN,25
452,DXC,25
453,CTSH,25
454,NYT,3
455,HOT,16
456,HST,26
457,HLT,16
458,H,16
459,XOM,5
460,HFC,5
461,KMI,5
462,OKE,5
463,ANDV,5
464,WMB,5
465,SUN,5
466,VLO,5
467,PSX,5
468,MPC,5
469,PCL,5
470,WY,21
471,LDOS,13
472,ZBH,15
473,SYK,10
474,IT,25
475,NLSN,3
476,IEX,15
477,PNR,11
478,XYL,11
479,MJN,20
480,AGN,10
481,DD,11
482,PPG,11
483,EMN,11
484,ASH,15
485,ALB,15
486,CE,15
487,LYB,15
488,ITW,19
489,MMM,11
490,ROK,13
491,AME,15
492,PWR,5
493,RDC,5
494,RIG,5
495,NBR,5
496,HAL,5
497,HP,5
498,MO,7
499,RAI,20
500,MON,7
501,GM,4
502,SVU,4
503,HAR,23
504,GME,3
505,BBY,6
506,SYY,7
507,WELL,14
508,PEAK,14
509,VTR,14
510,AFL,4
511,LNC,4
512,UNM,4
513,MTG,4
514,MET,4
515,PRU,4
516,AIZ,4
517,GNW,4
518,GL,14
519,PFG,4
520,AMP,4
521,CAT,18
522,TEX,18
523,MTW,18
524,BHI,5
525,SLB,17
526,CAM,11
527,NOV,11
528,FMC,15
529,ROL,21
530,ORCL,2
531,HPQ,2
532,NTAP,2
533,DELL,2
534,STX,13
535,BCR,10
536,CFN,10
537,COV,10
538,ABT,10
539,DXCM,10
540,RMD,10
541,BAX,10
542,COO,10
543,STJ,10
544,ABMD,10
545,BSX,10
546,ISRG,10
547,ALGN,10
548,MDT,10
549,TFX,10
550,EW,10
551,CVG,25
552,PAYX,25
553,TSLA,18
554,GPC,18
555,HOG,23
556,VNO,26
557,MAC,26
558,MHK,22
559,SHW,11
560,WST,15
561,STE,19
562,DE,15
563,J,11
564,FLR,11
565,HII,11
566,POOL,12
567,FFIV,2
568,CIEN,2
569,EQIX,2
570,VZ,8
571,QCOM,13
572,CSCO,2
573,JNPR,2
574,PMCS,13
575,BRCM,13
576,FTNT,2
577,QLGC,2
578,AVY,11
579,S,8
580,TMUS,8
581,CCI,8
582,SBAC,8
583,AMT,8
584,SPGI,3
585,UIS,19
586,CPRT,9
587,JNJ,10
588,FRX,10
589,VTRS,10
590,PRGO,20
591,HSP,10
592,AIG,4
593,MBI,4
594,WRB,4
595,CINF,4
596,CB,4
597,RE,4
598,TRV,4
599,PGR,9
600,ALL,14
601,AON,4
602,HIG,4
603,WLTW,4
604,AJG,25
605,MMC,25
606,NWL,22
607,KMB,22
