,tic,cluster_label
0,BA,9
1,RTX,11
2,GR,15
3,TXT,15
4,TFX,19
5,HON,11
6,CA,2
7,NOVL,2
8,MSFT,2
9,ORCL,2
10,BMC,2
11,MFE,2
12,CTXS,2
13,RHT,2
14,INTU,2
15,ADBE,2
16,NLOK,2
17,ANSS,2
18,ADI,13
19,AME,15
20,STR,5
21,PNW,5
22,AYE,5
23,AEP,5
24,GAS,5
25,CEG,5
26,CSX,5
27,ED,5
28,CMS,5
29,DTV,5
30,D,5
31,DUK,5
32,EP,5
33,ATO,5
34,EQT,5
35,NEE,5
36,CNP,5
37,KMI,5
38,EVRG,5
39,KSE,5
40,ETR,5
41,ES,5
42,NI,5
43,XEL,5
44,FE,5
45,OKE,5
46,PCG,5
47,SRE,5
48,PPL,5
49,EXC,5
50,PEG,5
51,SCG,5
52,EIX,5
53,TE,5
54,TXU,5
55,AEE,5
56,WEC,5
57,TEG,5
58,AES,5
59,NRG,5
60,POM,5
61,WMB,5
62,BTU,5
63,CNX,5
64,VFC,22
65,EA,3
66,TTWO,3
67,LHX,8
68,AMD,13
69,MU,13
70,TER,13
71,MXIM,13
72,XLNX,13
73,MCHP,13
74,SNDK,13
75,QRVO,13
76,A,13
77,TXN,13
78,LLTC,13
79,SNPS,2
80,CDNS,13
81,AMAT,13
82,KLAC,13
83,LRCX,13
84,VZ,8
85,LUMN,8
86,T,8
87,S,8
88,LVLT,8
89,LLL,8
90,PWR,8
91,BK,4
92,CBSS,4
93,JPM,4
94,CMA,4
95,FITB,4
96,RF,4
97,FHN,4
98,HBAN,4
99,JEF,4
100,BAC,4
101,NTRS,4
102,WFC,4
103,PNC,4
104,KEY,4
105,STT,4
106,NAVI,4
107,SNV,4
108,SIVB,4
109,SOV,4
110,COF,4
111,HCBK,4
112,MTB,4
113,TFC,4
114,JBHT,9
115,R,9
116,ODFL,9
117,UPS,9
118,CHRW,9
119,AAL,9
120,ALK,9
121,DAL,9
122,LUV,9
123,UAL,9
124,FDX,9
125,AMGN,10
126,GENZ,10
127,CELG,10
128,REGN,10
129,CEPH,10
130,MEDI,10
131,VRTX,10
132,BIIB,10
133,GILD,10
134,INCY,10
135,NKTR,10
136,ALXN,10
137,BMY,10
138,WFM,6
139,KR,6
140,SVU,6
141,COST,6
142,VNO,26
143,DRE,26
144,KIM,26
145,REG,26
146,PLD,26
147,SLG,26
148,FRT,26
149,PSA,26
150,UDR,26
151,EQR,26
152,MAA,26
153,AVB,26
154,ESS,26
155,AIV,26
156,LSI,26
157,ARE,26
158,BXP,26
159,TLAB,8
160,CIEN,8
161,QCOM,13
162,MSI,13
163,GRMN,13
164,SLR,13
165,SANM,13
166,JBL,13
167,KSS,6
168,SBAC,8
169,TJX,6
170,BBBY,6
171,AZO,6
172,AAP,6
173,CVS,6
174,FDO,6
175,JWN,6
176,WMT,6
177,FAST,6
178,WM,5
179,AW,5
180,SRCL,5
181,RSG,5
182,EFX,19
183,CVG,2
184,THC,14
185,UHS,14
186,LH,14
187,HCA,14
188,ESRX,14
189,DVA,14
190,DGX,14
191,EVHC,14
192,VTR,14
193,CNC,14
194,SWKS,13
195,ECL,7
196,DG,6
197,ROST,6
198,BIG,6
199,DLTR,6
200,PETM,6
201,RHI,25
202,PAYX,25
203,APA,5
204,CVX,5
205,HP,5
206,RRC,5
207,NBL,5
208,SWN,5
209,PXD,5
210,DVN,5
211,EOG,5
212,COG,5
213,APC,17
214,NFX,17
215,OXY,5
216,MUR,5
217,ADM,7
218,F,18
219,CAT,18
220,CMI,18
221,GT,15
222,BWA,18
223,SNA,15
224,SHW,15
225,BAX,15
226,BC,15
227,FLR,15
228,IPG,15
229,MOLX,15
230,PPG,15
231,ROK,15
232,SIAL,15
233,WHR,15
234,NKE,22
235,GE,15
236,TIF,22
237,DE,15
238,EXPD,9
239,DNB,4
240,MCO,4
241,BDK,15
242,SEE,11
243,PTV,11
244,BMS,15
245,WRK,11
246,XRX,2
247,ZBRA,2
248,NEM,17
249,FCX,17
250,ADP,25
251,AVP,20
252,EL,20
253,KMB,15
254,PKG,11
255,IP,15
256,OMX,11
257,MWV,5
258,TIN,11
259,RRD,3
260,SPGI,3
261,LEG,11
262,WEN,6
263,DRI,6
264,YUM,6
265,MCD,6
266,CAH,14
267,MGM,16
268,CCL,16
269,HAS,22
270,MAT,22
271,HRB,4
272,BEN,4
273,LM,4
274,MMC,4
275,MER,4
276,RJF,4
277,MS,4
278,TROW,4
279,SCHW,4
280,ETFC,4
281,AMG,4
282,GS,4
283,BLK,4
284,JNS,25
285,AXP,4
286,KSU,9
287,UNP,5
288,BNI,9
289,WAB,18
290,CPB,7
291,CAG,7
292,HRL,7
293,TSN,7
294,STZ,7
295,DIS,3
296,TT,11
297,NUE,11
298,X,11
299,AKS,11
300,IR,11
301,ATI,11
302,PCP,11
303,HOLX,10
304,CHD,11
305,PG,15
306,CL,20
307,XTO,17
308,BLL,11
309,MNST,7
310,PBG,7
311,KO,7
312,EMR,11
313,APH,13
314,IFF,15
315,WST,10
316,JKHY,2
