,tic,cluster_label
0,HON,11
1,BA,11
2,TDG,18
3,RTX,9
4,GE,9
5,TXT,18
6,PH,11
7,CA,2
8,MSFT,2
9,ORCL,2
10,ADBE,2
11,ALTR,2
12,FFIV,2
13,RHT,2
14,CRM,2
15,MKTX,2
16,NOW,2
17,PBI,2
18,VRSN,2
19,VRSK,2
20,ANSS,2
21,CTXS,2
22,AYI,11
23,AEP,5
24,ED,5
25,CMS,5
26,DTV,5
27,D,5
28,DUK,5
29,ATO,5
30,NEE,5
31,CNP,5
32,EVRG,5
33,ES,5
34,NI,5
35,XEL,5
36,FE,5
37,PCG,5
38,SRE,5
39,PPL,5
40,EXC,5
41,PEG,5
42,SCG,5
43,SO,5
44,AEE,5
45,WEC,5
46,LNT,5
47,DRE,5
48,AES,5
49,NRG,5
50,AT,5
51,FSLR,5
52,PNW,19
53,BTU,5
54,ADSK,2
55,EA,3
56,TTWO,3
57,ATVI,3
58,INTC,13
59,MU,13
60,TER,13
61,TXN,13
62,MXIM,13
63,XLNX,13
64,MCHP,13
65,SNPS,2
66,CDNS,13
67,KEYS,13
68,AMAT,13
69,KLAC,13
70,LRCX,13
71,VZ,8
72,LUMN,8
73,T,8
74,S,8
75,LLL,8
76,AXP,4
77,JPM,4
78,CMA,4
79,FITB,4
80,RF,4
81,MTB,4
82,USB,4
83,FHN,4
84,HBAN,4
85,NTRS,4
86,WFC,4
87,KEY,4
88,STI,4
89,ZION,4
90,TFC,4
91,SNV,4
92,PBCT,4
93,SLM,4
94,SYF,4
95,CFG,4
96,COF,4
97,NOV,4
98,CIT,4
99,DFS,4
100,RCL,4
101,BAC,4
102,FDX,9
103,JBHT,9
104,R,9
105,ODFL,9
106,PCAR,18
107,EXPD,9
108,UPS,9
109,CHRW,9
110,AAL,9
111,ALK,9
112,DAL,9
113,LUV,9
114,UAL,9
115,MSI,19
116,AMGN,10
117,LLY,10
118,MRK,10
119,CELG,10
120,LH,10
121,ABBV,10
122,LIFE,10
123,REGN,10
124,VRTX,10
125,BIIB,10
126,GILD,10
127,INCY,10
128,NKTR,10
129,ALXN,10
130,DGX,10
131,DPZ,10
132,PFE,10
133,BMY,10
134,SVU,6
135,KR,6
136,WMT,6
137,KIM,26
138,MAA,26
139,PLD,26
140,ESS,26
141,SLG,26
142,FRT,26
143,PSA,26
144,UDR,26
145,EQR,26
146,REG,26
147,AVB,26
148,AIV,26
149,LSI,26
150,ARE,26
151,BXP,26
152,EXR,26
153,DLR,26
154,EL,20
155,COTY,20
156,AVGO,13
157,QCOM,13
158,JBL,19
159,SANM,13
160,FAST,6
161,SIVB,4
162,TJX,6
163,BIG,6
164,GME,6
165,O,26
166,ORLY,6
167,PAYC,25
168,AN,6
169,AZO,6
170,AAP,6
171,SRCL,15
172,WM,5
173,RSG,5
174,CI,14
175,THC,14
176,HCA,14
177,ESRX,14
178,DVA,14
179,UHS,14
180,ADI,13
181,SWKS,13
182,QRVO,13
183,ROL,15
184,ECL,15
185,TGT,6
186,ROST,6
187,BBBY,6
188,URBN,6
189,TSCO,6
190,DLTR,6
191,ULTA,6
192,DDS,6
193,DG,6
194,JWN,22
195,KSS,22
196,SIG,6
197,AVP,22
198,ODP,6
199,POOL,6
200,SPLS,6
201,RHI,25
202,APA,5
203,EQT,5
204,RRC,5
205,COP,5
206,SWN,5
207,APC,5
208,PXD,5
209,DVN,5
210,EOG,5
211,NFX,5
212,CNX,5
213,XEC,5
214,QEP,5
215,FANG,5
216,WPX,5
217,HES,17
218,MUR,17
219,NBL,17
220,CXO,17
221,CVX,5
222,WMB,5
223,MRO,5
224,ADM,7
225,SNA,18
226,CMI,18
227,APTV,18
228,BWA,18
229,GT,18
230,BDX,15
231,BC,15
232,OI,15
233,SEE,15
234,WHR,15
235,FTV,15
236,IRM,15
237,CVG,15
238,PM,15
239,CBRE,15
240,ALLE,15
241,NKE,22
242,OMC,19
243,TIF,22
244,JEF,19
245,STT,19
246,SBUX,7
247,HOG,15
248,BMS,11
249,HPQ,2
250,XRX,2
251,FCX,17
252,NEM,17
253,AA,17
254,CLF,5
255,PWR,5
256,PKG,4
257,IP,15
258,MS,11
259,WEN,6
260,DRI,6
261,YUM,6
262,CMG,7
263,MCD,6
264,AGN,14
265,CVS,14
266,WBA,20
267,MCK,10
268,ABC,14
269,BAX,15
270,MGM,16
271,WYNN,16
272,LVS,16
273,HAS,3
274,MAT,22
