,tic,cluster_label
0,GR,18
1,HON,11
2,RTX,11
3,TDG,11
4,TXT,18
5,GE,13
6,CA,2
7,NOVL,2
8,MSFT,2
9,ORCL,2
10,BMC,2
11,NLOK,2
12,MFE,2
13,CTXS,2
14,RHT,2
15,CRM,2
16,TDC,2
17,IRM,25
18,MKTX,2
19,NYX,2
20,ADBE,2
21,INTU,2
22,INFO,25
23,ADSK,2
24,ANSS,2
25,CME,2
26,AME,13
27,AYE,5
28,AEP,5
29,GAS,5
30,CEG,5
31,ED,5
32,CMS,5
33,DTV,5
34,D,5
35,DUK,5
36,EP,5
37,ATO,5
38,EQT,5
39,NEE,5
40,CNP,5
41,EVRG,5
42,ETR,5
43,ES,5
44,NI,5
45,XEL,5
46,FE,5
47,PCG,5
48,SRE,5
49,PPL,5
50,EXC,5
51,POM,5
52,PEG,5
53,STR,5
54,SCG,5
55,EIX,5
56,SO,5
57,TE,5
58,TXU,5
59,AEE,5
60,WEC,5
61,LNT,5
62,TEG,5
63,AES,5
64,NRG,5
65,ITT,19
66,PWR,8
67,OKE,5
68,CLF,5
69,EA,3
70,TTWO,3
71,ADI,13
72,MU,13
73,MOLX,13
74,TER,13
75,MXIM,13
76,XLNX,13
77,MCHP,13
78,SNDK,13
79,QRVO,13
80,AMD,13
81,A,13
82,LLTC,13
83,STX,13
84,CDNS,13
85,SNPS,13
86,KLAC,13
87,LRCX,13
88,LUMN,8
89,T,8
90,LVLT,8
91,LLL,8
92,JEF,17
93,SPGI,19
94,HRB,4
95,JPM,4
96,CMA,4
97,FITB,4
98,RF,4
99,MTB,4
100,FHN,4
101,HBAN,4
102,MER,4
103,BAC,4
104,NTRS,4
105,WFC,4
106,PNC,4
107,KEY,4
108,STT,4
109,STI,4
110,TFC,4
111,SNV,4
112,PBCT,4
113,SIVB,4
114,SOV,4
115,COF,4
116,HCBK,4
117,WHR,4
118,C,4
119,ZION,4
120,JBHT,9
121,R,9
122,ODFL,9
123,UPS,9
124,CHRW,9
125,AAL,9
126,ALK,9
127,DAL,9
128,FDX,9
129,LUV,9
130,UAL,9
131,AMGN,10
132,BMY,10
133,GENZ,10
134,CELG,10
135,REGN,10
136,CEPH,10
137,VRTX,10
138,BIIB,10
139,GILD,10
140,INCY,10
141,NKTR,10
142,ALXN,10
143,DPZ,10
144,FRX,10
145,PFE,10
146,ENDP,10
147,PETM,6
148,PTV,7
149,SWY,7
150,KR,6
151,SVU,6
152,COST,6
153,WBA,6
154,DRE,26
155,PSA,26
156,KIM,26
157,REG,26
158,SPG,26
159,ESS,26
160,ARE,26
161,SLG,26
162,PLD,26
163,FRT,26
164,EQR,26
165,MAA,26
166,AVB,26
167,AIV,26
168,LSI,26
169,BXP,26
170,EXR,26
171,DLR,26
172,MSI,8
173,QCOM,8
174,PMCS,13
175,LHX,8
176,SANM,13
177,JBL,13
178,KSS,6
179,TJX,6
180,FAST,6
181,GME,6
182,O,26
183,AAP,6
184,WMT,6
185,BIG,6
186,AZO,6
187,WM,5
188,AW,5
189,RSG,5
190,SRCL,15
191,EFX,25
192,CVG,25
193,VRSN,2
194,MHS,14
195,CVS,14
196,THC,14
197,UHS,14
198,LH,14
199,ESRX,14
200,DVA,14
201,EVHC,14
202,CNC,14
203,WCG,14
204,DGX,10
205,ABC,14
206,SWKS,13
207,TEL,13
208,ECL,7
209,DG,6
210,FDO,6
211,ROST,6
212,BBBY,6
213,URBN,6
214,TSCO,6
215,DLTR,6
216,DDS,6
217,TGT,22
218,ODP,22
219,SPLS,6
220,OMX,6
221,RHI,25
222,APA,5
223,RRC,5
224,NBL,5
225,SWN,5
226,WMB,5
227,PXD,5
228,DVN,5
229,EOG,5
230,COG,5
231,LO,5
232,XEC,5
233,CXO,5
234,XOM,17
235,APC,17
236,NFX,17
237,CVX,5
238,MUR,17
239,ADM,7
240,TT,18
241,CMI,18
242,CAT,18
243,SNA,18
244,F,18
245,GM,18
246,BWA,18
247,BAX,10
248,BC,15
249,GT,15
250,OI,15
251,PPG,15
252,MO,15
253,SEE,15
254,NKE,22
255,TIF,6
256,EXPD,9
257,MAR,16
258,BMS,11
259,XRX,2
260,LXK,2
261,ZBRA,2
262,NEM,17
263,FCX,17
264,CNX,5
265,MEE,5
266,ADP,15
267,AVP,20
268,EL,20
269,WRK,11
270,MWV,21
271,PKG,11
272,IP,19
273,WY,21
274,RRD,3
275,WEN,6
276,DRI,6
277,YUM,6
278,WFM,6
279,CMG,7
280,MCD,7
281,CAH,14
282,MGM,16
283,WYNN,16
284,LVS,16
285,HOT,16
286,SLB,17
287,HAS,22
288,MAT,22
289,NDAQ,2
290,BEN,4
291,LM,4
292,RJF,4
293,MS,4
294,TROW,4
295,SCHW,4
296,IVZ,4
297,ETFC,4
298,GS,4
299,BLK,4
300,JNS,4
301,AMP,4
302,BR,4
303,AMG,25
304,MMC,25
305,DNB,4
306,MCO,4
307,CSX,9
308,UNP,9
309,BNI,9
310,KSU,9
311,WAB,18
312,NSC,9
313,CAG,7
314,HRL,7
315,TSN,7
316,STZ,7
317,VIAB,3
318,DIS,3
319,LEG,11
320,NUE,11
321,X,11
322,AKS,11
323,BDK,11
324,SWK,11
325,ETN,15
326,PH,11
327,PCP,11
328,ATI,11
329,TIE,11
330,VAR,10
331,HOLX,10
332,KMB,20
333,CHD,20
334,CLX,7
335,CL,20
336,XTO,17
337,BLL,11
338,MNST,7
339,PBG,7
340,KO,7
341,APH,13
342,JCI,11
343,TYC,11
344,IFF,20
345,WST,10
346,FISV,2
347,GPN,2
348,ADS,3
349,TSS,4
350,FIS,4
351,DFS,4
352,AXP,8
353,FDC,8
354,MA,8
355,WU,8
356,JKHY,2
357,TAP,7
358,CERN,14
359,RX,10
360,MCK,14
361,TYL,2
362,COL,13
363,PG,20
364,TFX,10
365,COV,10
366,CCL,16
367,RCL,16
368,BDX,10
369,ILMN,10
370,BIO,10
371,TMO,10
372,SIAL,15
373,IDXX,10
374,PKI,13
375,APOL,25
376,WAT,10
377,MTD,15
378,GLW,13
379,AMAT,13
380,WWY,7
381,HSY,7
382,CPB,7
383,GIS,7
384,K,7
385,PEP,7
386,MKC,7
387,SJM,7
388,MDLZ,7
389,TIN,19
390,MLM,5
391,VMC,5
392,MOS,17
393,CF,5
394,KHC,7
395,TXN,13
396,GRMN,13
397,AAPL,2
398,DISCK,3
399,ACAS,4
400,MHK,22
401,LEN,12
402,NVR,12
403,KBH,12
404,DHI,12
405,PHM,12
406,AOS,18
407,OMC,19
408,AKAM,2
409,NFLX,3
410,AMZN,2
411,EBAY,2
412,EXPE,2
413,GOOGL,2
414,BKNG,16
415,MWW,25
416,MAS,15
417,L,6
418,LOW,6
419,HD,6
420,CTAS,19
421,GPS,22
422,SHW,22
423,PVH,22
424,VFC,22
425,JNY,22
426,FOSL,22
427,RL,22
428,TPR,22
429,UAA,22
430,HBI,22
431,CIT,4
432,NAVI,4
433,FSLR,13
434,IPGP,13
435,MDP,3
436,VIAC,3
437,SSP,3
438,TWX,3
439,CMCSK,8
440,GHC,8
441,CVC,8
442,DISH,8
443,CHTR,8
444,TWC,8
445,TRB,3
446,AYI,11
447,IPG,25
448,IBM,25
449,CTSH,25
450,ACN,25
451,NYT,3
452,TGNA,3
453,HST,26
454,AE,5
455,HFC,5
456,KMI,5
457,MRO,5
458,COP,5
459,ANDV,5
460,VLO,5
461,PCL,11
462,DXC,25
463,LDOS,13
464,BMET,10
465,SYK,10
466,ZBH,10
467,IT,25
468,PBI,24
469,PNR,11
470,NCR,24
471,ABT,10
472,LLY,10
473,BRL,10
474,WYE,10
475,VTRS,10
476,AGN,10
477,ASH,15
478,ROH,11
479,ALB,15
480,APD,15
481,DD,15
482,OXY,15
483,CE,15
484,HPC,11
485,EMN,11
486,ITW,19
487,MMM,11
488,PCAR,18
489,ROK,15
490,DHR,13
491,FLIR,13
492,RIG,17
493,RDC,11
494,NBR,5
495,HP,5
496,ROL,5
497,RAI,20
498,MON,7
499,HAR,23
500,KMX,6
501,BBY,6
502,SYY,7
503,WELL,14
504,PEAK,14
505,VTR,14
506,HES,19
507,AFL,4
508,GL,4
509,UNM,4
510,MTG,4
511,PRU,4
512,GNW,4
513,LNC,4
514,AIZ,4
515,PFG,4
516,TEX,18
517,MTW,18
518,SBUX,7
519,GMCR,7
520,BHI,5
521,HAL,5
522,CAM,15
523,NOV,11
524,FMC,15
525,INTC,13
526,QLGC,13
527,NTAP,2
528,UIS,19
529,HPQ,2
530,JAVA,2
531,DELL,2
532,NVDA,2
533,WDC,13
534,PRGO,20
535,STJ,10
536,DXCM,10
537,RMD,10
538,CBE,10
539,COO,10
540,ABMD,10
541,BSX,10
542,ISRG,10
543,ALGN,10
544,BCR,10
545,MDT,10
546,EW,10
547,PAYX,25
548,IR,11
549,LKQ,18
550,HOG,15
551,VNO,26
552,MAC,26
553,STE,10
554,HSP,10
555,DE,18
556,FLR,11
557,J,11
558,POOL,6
559,FFIV,2
560,TLAB,8
561,CIEN,2
562,CSCO,2
563,JNPR,2
564,EQIX,2
565,BRCM,13
566,AVY,15
567,VZ,8
568,S,8
569,AMT,8
570,CCI,8
571,SBAC,8
572,PCS,8
573,BTU,5
574,JOY,11
575,MSCI,2
576,EMC,2
577,ACS,25
578,CPRT,9
579,MRK,10
580,SGP,10
581,KG,10
582,JNJ,10
583,AIG,4
584,PGR,4
585,MBI,4
586,WRB,4
587,CINF,4
588,CB,4
589,ALL,4
590,RE,4
591,MET,4
592,HIG,4
593,TRV,19
594,AON,4
595,AJG,4
596,WLTW,4
597,NWL,22
598,LB,22
599,ANF,22
600,FL,19
601,M,22
602,JWN,22
603,CBRE,25
604,UDR,26
605,XRAY,15
606,PDCO,24
607,IEX,15
608,LIN,15
609,DOV,15
610,FLS,15
611,GWW,24
612,CI,14
613,AET,14
614,UNH,14
615,CVH,14
616,HUM,14
617,ANTM,14
618,HSIC,14
619,LYV,16
620,NCC,4
621,GPC,18
622,ORLY,6
623,ICE,2
624,BA,11
625,NOC,9
626,LMT,13
627,RTN,13
628,TDY,13
629,GD,13
630,AN,18
631,URI,24
632,ROP,13
633,EMR,11
